firm_size_num,employees_now,log_sales,survey_year,has_loan_bin,needs_finance_bin,pct_internal_finance,pct_bank_finance,pct_supplier_finance,sales_per_employee,finance_double_stress,infra_burden_score,obstacle_count,log_firm_age,size_age_interaction,is_exporter,mgmt_quality_score,manager_female,manager_university,obstacle_electricity_score,obstacle_finance_score,obstacle_informality_score,obstacle_workforce_score,obstacle_corruption_score,obstacle_transport_score,obstacle_customs_score,broad_sector_encoded,detailed_sector_encoded,region_encoded,legal_status_clean_encoded,country_encoded,biggest_obstacle_encoded,at_risk,distress_level,distress_signal_count,survey_weight,country,broad_sector,detailed_sector,region,firm_size,legal_status_clean
1.0,10.0,17.65625646361272,2018,1.0,0.0,100.0,0.0,0.0,1.765625646361272,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,28,40,3,2,53,0,0,0.0,1.3287597,Kenya,Retail services,Food,Kirinyaga,Small,Private Limited
1.0,9.0,16.003158088101646,2018,0.0,1.0,100.0,0.0,0.0,1.7781286764557385,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,40,3,2,35,0,1,1.0,1.3287597,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
1.0,8.0,17.22371907077249,2018,1.0,1.0,100.0,0.0,0.0,2.152964883846561,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10,28,40,3,2,37,0,0,0.0,1.3287597,Kenya,Retail services,Food,Kirinyaga,Small,Private Limited
1.0,16.0,16.811242881518265,2018,0.0,0.0,100.0,0.0,0.0,1.0507026800948915,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,37,2,2,56,0,0,0.0,9.685157,Kenya,Manufacturing,Food,Kiambu,Small,Partnership
1.0,49.0,18.365664749961784,2018,1.0,1.0,60.0,30.0,10.0,0.3748094846930976,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,40,3,2,51,0,1,1.0,1.8901613,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
2.0,8.0,17.570920407491414,2018,1.0,1.0,70.0,30.0,0.0,2.1963650509364268,0.0,0.0,0.0,2.9444389791664403,5.8888779583328805,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,40,3,2,42,0,1,1.0,1.0,Kenya,Manufacturing,Food,Kirinyaga,Medium,Private Limited
1.0,7.0,17.997455870683535,2018,1.0,1.0,80.0,0.0,20.0,2.571065124383362,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,37,3,2,60,0,0,0.0,6.808544,Kenya,Manufacturing,Food,Kiambu,Small,Private Limited
2.0,40.0,18.420680753952364,2018,0.0,1.0,100.0,0.0,0.0,0.46051701884880913,0.0,0.0,0.0,2.9444389791664403,5.8888779583328805,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,37,2,2,56,0,1,1.0,2.5470443,Kenya,Manufacturing,Food,Kiambu,Medium,Partnership
2.0,57.0,17.376348209757225,2018,1.0,1.0,70.0,20.0,10.0,0.3048482142062671,0.0,0.0,0.0,2.9444389791664403,5.8888779583328805,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,40,3,2,51,0,0,0.0,1.0,Kenya,Manufacturing,Food,Kirinyaga,Medium,Private Limited
1.0,17.0,17.216707972959764,2018,0.0,1.0,80.0,20.0,0.0,1.0127475278211626,0.0,0.0,0.0,2.9444389791664403,2.9444389791664403,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,37,3,2,50,1,2,2.0,9.685157,Kenya,Manufacturing,Food,Kiambu,Small,Private Limited
