idstd,id,a4a,a6a,a2,a4b,a0,a3a,a6b,a14d,a14m,a14y,a14h,a14min,a1,a12,a1a,a1c,a7,a7a,a7b,a11,a7c,a9,a20y,a20m,a20d,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,KENb1,KENb2,b5,b6,b6a,b6b,b7,b7a,b8,b8x,KENb3,KENb4,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22b,c30a,d1a1a,d1a1x,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d5a,d8,d10,d11,d12a,d12b,d13,d14,d15a,d30a,d30b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e6,e11,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,KENh1a,KENh1b,KENh1c,KENh2a,KENh2b,KENh2c,KENh2d,KENh3,KENh4a,KENh4b,KENh4c,KENh4d,KENh5,KENh6,KENh7,KENh8,KENh9a,KENh9b,KENh9c,f1,f2,KENf1a,KENf1b,KENf1c,KENf1d,KENf1e,g6a,g1a,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k3a,k3bc,k3e,k3f,k3hd,KENk1,KENk2,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a1,k21,KENk3,KENk4,KENk5,k30,MMs1,MMs2,MMs3,MMs4,MMs5,MMs6,MMs7,MMs8,MMs9,MMs10,MMs12,MMs11,h7a,j2,j3,j4,j5,KENj1,KENj2,j6a,j6,j7a,j7b,KENj3,KENj4,KENj5,KENj6,KENj7,KENj8,j10,j11,j12,j13,j14,j15,KENj9,KENj10,KENj11a,KENj11b,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l30a,l30b,m1a,n2a,n2e,n2b,n2i,n2p,n2e1,n7a,a15d,a15m,a15y,a15h,a15min,a15a1a,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
628582,2,Food,Small,Kirinyaga,Retail,Retail services,Kirinyaga,Small,12,6,2018,11,1,Kenya,Ce1017,English,Establishment,No,,,,,,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,99,100,0,0,0,Yes,50.0,0,1,1965,8,Yes,1965,30,No,Yes,"Rain Forest, Utz And Fair Trade",No,No,Yes,Still in process,Yes,Yes,3.0,1.0,0.0,25.0,,Yes,25.0,Yes,Still in process,No,,,,No,Minor obstacle,Retail trade of ,Coffee,100,46560190.0,"Forty Six Million, Five Hundred And Sixty Thousand, One Hundred And Ninety Shilllings",35541746.0,0,100,0,,,1965.0,No losses,No losses,100,0,,,,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,1-2 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,All managers and most production workers,No,,Based solely on performance and ability,Within 6 months of identifying non-manager under-performance,,,,No,No obstacle,No,,,,Yes,"Painting Of Metal Bars To Avoid Rusting. Also, Repair Of Water Tanks",The Recommended Painting Of Coffee Bars Improved Coffee Quality.The Repair Of Water Tanks Led To More Water Storage Facilities Which Increased Production,No,,No,No,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Government programs,Minor obstacle,Moderate obstacle,Major obstacle,,,,,,,,100,100,No,,,7.0,Other,Acres,No obstacle,Yes,1.0,,Yes,25.0,,Minor obstacle,100,0,0,0,0,,,Yes,8000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,Moderate obstacle,No,,,,,,,,,,,Customers don't use mobile money,Tend to agree,15,No,,,Yes,3.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,No,,,Yes,In line with my expectation,Increase,Increase,Very severe obstacle,Very severe obstacle,Minor obstacle,Major obstacle,Major obstacle,Moderate obstacle,10,9,,,,,,,,1.0,16,5.0,3.0,90.0,,Yes,,,,,Minor obstacle,Minor obstacle,Labor regulations,1400000.0,,1800000.0,39576162.0,,,,12,6,2018,11,46,4,,2,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Ce1015,No,No,Less than 50.000,5220,Kirinyaga,Small (5-19),Food,Panel,1.4872874,1.3287597,3.28487,68
628583,3,Food,Small,Kirinyaga,Food,Manufacturing,Kirinyaga,Small,20,6,2018,2,8,Kenya,Ce1017,English,Establishment,No,,,,,,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,80,100,0,0,0,Yes,20.0,0,0,1997,9,Yes,1997,5,No,Yes,Fair Trade,No,No,No,,,No,,,,,,No,,Yes,Still in process,No,No,,,No,Moderate obstacle,Manufacturing of ,Processing Of Coffee,100,8914217.0,"Eight Million, Nine Hundred And Fourteen Thousand, Two Hundred And Seventeen",3885954.0,0,100,0,,,1997.0,No losses,No losses,100,0,,,,Moderate obstacle,Minor obstacle,We fixed it but did not take further action,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with normal amount of effort,Most managers and some production workers,No,,Based solely on performance and ability,Rarely or never,International,Too many to count,No,No,No obstacle,No,,,,No,,,No,,,,,No,No,No,No,Process is expensive,No,No,No,No,No,No,,Interaction with suppliers,No obstacle,Major obstacle,Moderate obstacle,90.0,48.0,No,No,No,No,No,100,100,No,,,,,,Minor obstacle,Yes,,296000.0,No,,,Moderate obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,No,,,Yes,No,Yes,Non-bank financial institutions,2018.0,3000000.0,No,,,,,,,1.0,3000000.0,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,Moderate obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Tend to agree,20,No,,,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,No,,,No,,Decrease,Increase,Minor obstacle,Minor obstacle,Minor obstacle,Very severe obstacle,Minor obstacle,Moderate obstacle,9,8,5.0,4.0,2.0,3.0,0.0,0.0,0.0,,10,2.0,3.0,,4.0,No,,,,,Moderate obstacle,Moderate obstacle,Access to finance,480252.0,7298115.0,17826.0,,7796193.0,1568930.0,3000000.0,20,6,2018,2,49,4,,5,Male,,,,,,,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,Ce1015,No,No,Less than 50.000,1549,Kirinyaga,Small (5-19),Food,Panel,1.4872874,1.3287597,3.28487,68
628584,6,Food,Small,Kirinyaga,Retail,Retail services,Kirinyaga,Small,11,6,2018,15,43,Kenya,Ce1017,English,Establishment,No,,,,,,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,90,100,0,0,0,Yes,5.0,0,0,1966,14,Yes,1966,10,No,Yes,Rainforest And Fair-Trade,Yes,No,No,,,Yes,5.0,5.0,0.0,2.0,,Yes,10.0,No,,,,,,No,No obstacle,Retail trade of ,Coffee,100,30211072.0,"Thirty Million, Two Hundred And Eleven Thousand And Seventy Two ",41940219.0,0,100,0,,,1966.0,No losses,No losses,100,0,,,,Very severe obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve without much effort,All managers and most production workers,No,,Non-managers are normally not promoted,Rarely or never,,,,No,No obstacle,Yes,Yes,A New Variety Of Coffee Which Is Resistant To Coffee Berry Disease. Also Established A Coffee Nursery,"Previously, They Had Coffee Varieties Which Were Not Resistant To Coffee Berry Disease And Leaf Rust. The Coffee Nursery Has Helped Farmers To Get Quality Seedlings",Yes,Digital Weighing Scales,"Previously, They Used Manual Which Was Slow Compared To The Digital Weighing Scale",No,,No,Yes,No,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Interactions with customers,No obstacle,No obstacle,No obstacle,,,,,,,,100,100,No,,,2400.0,Square Meters,,No obstacle,Yes,10.0,,No,,,No obstacle,100,0,0,0,0,,,Yes,7000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No,No effect,,No obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Strongly disagree,10,No,,,No,,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,2.0,No,No,,Remain the same,Remain the same,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,8,8,,,,,,,,1.0,12,5.0,3.0,,1.0,Yes,,,,,No obstacle,No obstacle,Access to land,777600.0,,61500.0,5000000.0,,,,11,6,2018,16,30,4,,5,Male,,,,,,,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Ce1015,No,No,Less than 50.000,5220,Kirinyaga,Small (5-19),Food,Panel,1.4872874,1.3287597,3.28487,68
628585,7,Food,Small,Kiambu,Food,Manufacturing,Kiambu,Small,20,6,2018,13,16,Kenya,Nb1204,English,Establishment,No,,,,,,2018,1,31,Partnership,,70,100,0,0,0,No,,70,0,2010,16,Yes,2010,8,No,No,,No,No,No,,,Yes,2.0,2.0,0.0,5.0,,Yes,5.0,No,,,No,,,No,No obstacle,Manufacturing of ,Coffee,100,20000000.0,Twenty Million,16000000.0,100,0,0,,,,No losses,No losses,80,20,Yes,5.0,No,No obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",No,,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,No,,Non-managers are normally not promoted,Within 6 months of identifying non-manager under-performance,Local â main product sold mostly in same municipality where establishment is located,2.0,No,No,Minor obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,No,No,No,No,No,,Internet,No obstacle,No obstacle,Minor obstacle,80.0,56.0,No,No,Yes,Yes,Yes,100,100,No,,,,,,No obstacle,Yes,10.0,,No,,,No obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,No obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Strongly agree,50,Yes,1.0,No,No,,No,,No payments or gifts are paid,,No,,No,,No,,Yes,30.0,No,Yes,15.0,No,Yes,In line with my expectation,Increase,Increase,No obstacle,Don't know (spontaneous),No obstacle,Very severe obstacle,No obstacle,No obstacle,16,16,12.0,4.0,2.0,6.0,4.0,6.0,0.0,,No full-time seasonal or temporary workers,,,100.0,,No,,,,,No obstacle,No obstacle,Political instability,3000000.0,6000000.0,500000.0,,20000000.0,6000000.0,100000000.0,20,6,2018,13,49,1,,8,Male,,,,,,,Truthful,Are taken directly from establishment records,Several visits,1.0,0.0,Nb1252,No,No,50.000 to 250.000,1549,Kiambu,Small (5-19),Food,Panel,9.003431,9.685157,12.982904,85
628586,8,Food,Small,Kirinyaga,Food,Manufacturing,Kirinyaga,Medium,27,1,2019,11,51,Kenya,Ce1017,English,Establishment,No,,,,,,2017,7,10,Shareholding company with non-traded shares or shares traded privately,,99,100,0,0,0,Yes,30.0,0,0,1954,6,Yes,1954,6,No,Still in process,Fair Trade,No,No,No,,,No,,,,,,No,,No,,,No,,,No,Minor obstacle,Manufacturing of ,Processing Of Coffee,100,94647000.0,"Ninety Four Million, Six Hundred And Forty Seven Thousand ",77000000.0,0,80,20,Don't know (spontaneous),No,1954.0,No losses,No losses,100,0,,,,Very severe obstacle,Moderate obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on short-term (less than one year) production targets,Targets were not achieved,Only senior managers,No,,Non-managers are normally not promoted,Rarely or never,National â main product sold mostly across the country where establishment is located,Too many to count,No,Yes,Very severe obstacle,Yes,Yes,Plant Nursery,The Plant Nursery Helps Farmers Get Good Seedlings,Yes,Introduced Computers,To Help Make Work Easier,Yes,30000.0,No,No,No,No,No,No,No,Not aware of the importance of patenting a new product or process,No,No,No,No,Yes,No,,Internet,Very severe obstacle,Very severe obstacle,Very severe obstacle,70.0,48.0,No,No,No,No,Yes,100,100,No,,,,,,No obstacle,Yes,3.0,,No,,,Moderate obstacle,60,30,0,10,0,,,Yes,0.0,750000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,Yes,State-owned banks or government agency,2017.0,5000000.0,No,,,,,,,2.0,14000000.0,No,Yes,,Application was approved in full,Yes,No,Positively affected,,Very severe obstacle,No,,,,,,,,,,,Don't know enough about mobile money,Tend to agree,20,No,,,Yes,3.0,No,,5.0,,No,,No,,No,,No,,,No,,,Yes,In line with my expectation,Remain the same,Remain the same,No obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Major obstacle,49,55,40.0,9.0,8.0,32.0,0.0,14.0,0.0,,62,21.0,3.0,20.0,,No,,,,,Minor obstacle,Very severe obstacle,Inadequately educated workforce,15000000.0,35000000.0,220000.0,,51000000.0,28000000.0,1000000000.0,27,1,2019,12,45,4,,6,Male,,,,,,,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,Ce1015,No,Yes,Less than 50.000,1549,Kirinyaga,Small (5-19),Food,Panel,2.0637407,1.8901613,3.9483418,68
628587,9,Food,Medium,Kirinyaga,Food,Manufacturing,Kirinyaga,Small,21,1,2019,11,51,Kenya,Ce1017,English,Establishment,No,,,,,,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,99,100,0,0,0,Yes,35.0,0,0,1953,6,Yes,1953,28,No,Yes,"Rainforest Alliance, 4C And Safe",No,No,No,,,Yes,30.0,24.0,0.0,,2000000.0,Yes,20.0,Yes,270.0,Yes,Yes,2.0,8.0,Yes,Moderate obstacle,Manufacturing of ,Processing Of Coffee,100,42751737.0,Forty Two Million Seven Hundred And Fifty One Thousand Seven Hundred And Thirty Seven,35614952.0,0,100,0,,,1953.0,No losses,No losses,100,0,,,,Major obstacle,Major obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,10 or more production performance indicators,Yes,Combination of short term and long term production targets,Only possible to achieve with extraordinary effort,All managers and most production workers,No,,Based solely on performance and ability,Rarely or never,International,Too many to count,No,No,No obstacle,Yes,Yes,Certifying Farmers Produce (Coffee),"Better Payment To The Farmers, High Production  Of Coffee Due To Better Payment",No,,,No,,No,No,No,No,No,No,No,Process is expensive,No,No,No,No,Yes,Yes,Very useful,Government programs,Moderate obstacle,Major obstacle,Moderate obstacle,75.0,44.0,No,No,No,No,No,100,100,No,,,,,,Minor obstacle,Yes,1.0,,Yes,35.0,,Major obstacle,70,30,0,0,0,,,Yes,0.0,1000000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,Yes,Positively affected,,Moderate obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Strongly disagree,10,Yes,2.0,No,Yes,1.0,No,,5.0,,No,,No,,No,,No,,,No,,,No,,Increase,Increase,Major obstacle,Minor obstacle,Moderate obstacle,No obstacle,No obstacle,No obstacle,8,9,5.0,3.0,1.0,2.0,2.0,2.0,1.0,,24,24.0,5.0,,4.0,Yes,20.0,,40.0,,Don't know (spontaneous),Minor obstacle,"Crime, theft and disorder",1901790.0,15442331.0,101033.0,,20000000.0,12000000.0,Don't know (spontaneous),21,1,2019,12,30,4,,28,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Ce1015,No,No,Less than 50.000,1549,Kirinyaga,Medium (20-99),Food,Panel,1.0,1.0,1.0,73
628588,11,Food,Small,Kiambu,Food,Manufacturing,Kiambu,Small,7,6,2018,15,38,Kenya,Nb1380,English,Establishment,Yes,3.0,No,,,Yes,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,10,100,0,0,0,Yes,30.0,10,0,1975,Don't know (spontaneous),Yes,1975,4,Yes,No,,Yes,No,No,,,Yes,8.0,1.0,0.0,3.0,,No,,No,,,No,,,No,No obstacle,Manufacturing of ,Coffee,98,65493133.0,"Sixty Five Million, Four Hundred And Ninety Three Thousand,One Hundred And Thirty Three ",44156298.0,0,100,0,,,1975.0,No internal shipments made (does not apply),,100,0,,,,Major obstacle,No obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with more than normal effort,All managers and most production workers,No,,"Based partly on performance and ability, and partly on other factors (for example, tenure or family connections)",Within 6 months of identifying non-manager under-performance,International,Too many to count,No,Yes,No obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,Don't know (spontaneous),No,No,Yes,No,,Interactions with customers,No obstacle,No obstacle,Does not apply,100.0,45.0,No,No,No,No,No,100,100,No,,,,,,No obstacle,Yes,20.0,,No,,,Major obstacle,80,0,0,20,0,,,Yes,0.0,30000.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,Yes,No,No effect,,No obstacle,No,,,,,,,,,,,Establishmment's payment are too large to use mobile money,Tend to agree,No time was spent,No,,,Yes,3.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,No,,Increase,Increase,Minor obstacle,No obstacle,No obstacle,No obstacle,Does not apply,Does not apply,7,7,4.0,3.0,1.0,1.0,2.0,1.0,0.0,,23,4.0,3.0,100.0,,Yes,,2.0,No employees trained,,No obstacle,No obstacle,Transport,2682109.0,7484499.0,393396.0,,12000000.0,7723554.0,4396764.0,7,6,2018,17,38,6,,4,Male,Production Supervisor,4.0,Male,,,,Truthful,Are taken directly from establishment records,Several visits,4.0,30.0,Nb1252,No,No,Less than 50.000,1549,Kiambu,Small (5-19),Food,Panel,6.4885516,6.808544,10.801282,85
628589,13,Food,Medium,Kiambu,Food,Manufacturing,Kiambu,Medium,13,6,2018,16,16,Kenya,Nb0656,English,Establishment,No,,,,,,2017,12,31,Partnership,,90,100,0,0,0,No,,0,0,2013,9,Yes,2013,5,No,No,,No,No,No,,,Yes,4.0,0.0,30.0,1.0,,Yes,1.0,No,,,Yes,5.0,2.0,Yes,Minor obstacle,Manufacturing of ,Coffee,100,100000000.0,One Hundred Million ,50000000.0,100,0,0,,,,No losses,5.0,100,0,,,,Minor obstacle,Minor obstacle,We fixed it and took action to make sure it did not happen again,Yes,1-2 production performance indicators,Yes,Combination of short term and long term production targets,Possible to achieve with some effort,Only senior managers,Yes,Their team or shift performance as measured by targets,Based solely on performance and ability,Rarely or never,Local â main product sold mostly in same municipality where establishment is located,Too many to count,No,Yes,Minor obstacle,No,,,,No,,,No,,,,,Yes,No,Yes,No,,Yes,No,No,No,No,Yes,Somewhat useful,Internet,No obstacle,Minor obstacle,Minor obstacle,90.0,56.0,No,No,No,No,Yes,0,0,No,,,,,,Does not apply,Yes,5.0,,No,,,No obstacle,100,0,0,0,0,,,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,Application procedures were complex,,No,No,No effect,,No obstacle,Yes, Reduce the time spent in financial transactions,No,,No,,No,,No,,,,Tend to disagree,2,No,,,No,,Yes,No payments,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,Less than one day,No,No,,Does not apply,Remain the same,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,No obstacle,40,20,30.0,10.0,10.0,5.0,15.0,1.0,1.0,,No full-time seasonal or temporary workers,,,100.0,,No,,,,,Minor obstacle,No obstacle,Political instability,500000.0,400000.0,1500000.0,,100000000.0,200000.0,10000000000.0,13,6,2018,16,55,5,,2,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb1252,No,No,50.000 to 250.000,1549,Kiambu,Medium (20-99),Food,Panel,2.1776714,2.5470443,1.8557603,93
628590,14,Food,Medium,Kirinyaga,Food,Manufacturing,Kirinyaga,Medium,23,6,2018,12,11,Kenya,Ce1017,English,Establishment,No,,,,,,2017,9,30,Shareholding company with non-traded shares or shares traded privately,,99,100,0,0,0,Yes,10.0,0,0,1953,10,Yes,1953,13,No,Yes,"Fair Trade, Rain Forest Alliance, And 4Cs",No,No,No,,,Yes,4.0,48.0,0.0,1.0,,Yes,2.0,No,,,No,,,No,Moderate obstacle,Manufacturing of ,Processing Of Coffee,100,35192663.0,"Thirty Five Million, One Hundred And Ninety Two Thousand, Six Hundred And Sixty Three",36448619.0,10,90,0,,,2011.0,No losses,No losses,100,0,,,,Major obstacle,Major obstacle,We fixed it but did not take further action,Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Most managers and some production workers,Yes,Their team or shift performance as measured by targets,Non-managers are normally not promoted,Rarely or never,International,Too many to count,No,No,No obstacle,No,,,,No,,,Yes,330000.0,,,,No,No,No,No,Process is expensive,No,No,No,No,Yes,No,,Interactions with customers,Major obstacle,Major obstacle,Major obstacle,85.0,48.0,No,No,No,No,No,100,100,No,,,,,,Major obstacle,Yes,,864000.0,Yes,,600000.0,Major obstacle,70,20,0,10,0,,,Yes,500000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,No,,,Yes,Yes,Yes,Private commercial banks,2017.0,80000000.0,Yes,No,No,No,No,Yes,100000000.0,1.0,180000000.0,No,Yes,,Application was approved in full,Yes,Yes,Positively affected,,Moderate obstacle,No,,,,,,,,,,,Customers don't use mobile money,Strongly agree,10,Yes,1.0,No,Yes,3.0,No,,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,180.0,No,No,,Remain the same,Increase,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,Major obstacle,Major obstacle,57,54,27.0,30.0,7.0,15.0,5.0,2.0,13.0,,228,65.0,3.0,,38.0,No,,,,,Moderate obstacle,Major obstacle,Inadequately educated workforce,1391755.0,15041093.0,244827.0,,16587675.0,12000500.0,10000000.0,23,6,2018,13,1,4,,1,Male,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Ce1015,No,No,Less than 50.000,1549,Kirinyaga,Medium (20-99),Food,Panel,1.0,1.0,1.0,73
628591,17,Food,Small,Kiambu,Food,Manufacturing,Kiambu,Small,21,6,2018,8,40,Kenya,Nb1204,English,Establishment,No,,,,,,2017,12,31,Shareholding company with non-traded shares or shares traded privately,,Don't know (spontaneous),0,0,0,100,Yes,50.0,Don't know (spontaneous),0,2005,6,Yes,2005,3,Yes,No,,No,No,No,,,Yes,1.0,12.0,0.0,5.0,,No,,No,,,No,,,Yes,Major obstacle,Manufacturing of ,Mineral Water,50,30000000.0,Thirty Million,20000000.0,100,0,0,,,,No losses,2.0,100,0,,,,Minor obstacle,No obstacle,"We fixed it and took action to make sure that it did not happen again, and had a continuous improvement process to anticipate problems like these in advance",Yes,3-9 production performance indicators,Yes,Main focus was on long-term (one year or more) production targets,Targets were not achieved,Most managers and some production workers,No,,Non-managers are normally not promoted,DONâT KNOW (SPONTANEOUS),Local â main product sold mostly in same municipality where establishment is located,Too many to count,No,No,Major obstacle,No,,,,No,,,No,,,,,No,No,No,No,Did not have a product to patent,No,No,No,No,Yes,No,,Internet,Minor obstacle,Very severe obstacle,Moderate obstacle,80.0,48.0,Yes,No,No,Yes,Yes,100,100,No,,,,,,No obstacle,Yes,5.0,,No,,,Minor obstacle,80,20,0,0,0,,,No,,,,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No,No effect,,Major obstacle,Yes, Reduce the time spent in financial transactions,No,,Yes,50.0,Yes,100.0,Yes,50.0,No,,Tend to disagree,100,Yes,Don't know (spontaneous),No,No,,Yes,No payments,No payments or gifts are paid,,No,,No,,No,,No,,,Yes,30.0,No,No,,Increase,Increase,Major obstacle,Major obstacle,Very severe obstacle,Very severe obstacle,Moderate obstacle,No obstacle,17,17,10.0,7.0,2.0,4.0,4.0,1.0,1.0,,No full-time seasonal or temporary workers,,,100.0,,Yes,50.0,,No employees trained,,No obstacle,No obstacle,Electricity,2400000.0,2000000.0,300000.0,,30000000.0,2000000.0,10000000.0,21,6,2018,9,41,6,,3,Female,,,,,,,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,Nb1252,No,No,50.000 to 250.000,1554,Kiambu,Small (5-19),Food,Panel,9.003431,9.685157,12.982904,85
