idstd,id,recnumber,Rotation,cards,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,c3,c4,c5,a20dstart,a20mstart,a20ystart,a20dend,a20mend,a20yend,c6,c7,c8,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22a,c22b,c28,c30a,c30b,d1a1x,d1a2,d1a3,d2,d2x,n3,d3a,d3b,d3c,d4,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d16,d17,d30a,d30b,e1,e2b,KENe1,KENe10,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g6a,g6b,g6c,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5i,k5bc,k5e,k5f,k5hdj,k6,k7,A2f1,A2f2,k8,A2f3,k9,A2f4,A2f4x,A2f5,k10,A2f6,A2f7,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a,KENk26,KENk27,KENk28,k21,KENk33,KENk34a,KENk34b,KENk34c,KENk34d,k30,MMs1,MMs2,MMs3,MMs4,MMs5,MMs6,MMs7,MMs8,MMs9,MMs10,MMs11a,MMs11b,MMs11c,MMs11d,MMs11e,MMs11f,MMs12a,MMs12b,MMs12c,MMs12d,h7a,j2,j3,j4,j5,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2e,n2f,n2b,n2ra,n2rb,n2i,n2j,n6a,n6b,n7a,n7b,a15a2,a15a3,a15b2,a15b3,a15c2,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,panel,id_panel,wstrict,wmedian,wweak,strata
537304,1.0,87.0,1.0,(A) with cards,Other services,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Hotel and restaurants: section H,Hotel and restaurants: section H,"Yes, screener and sample frame info match",Small >=5 and <=19,Medium >=20 and <=99,"No, a firm on its own",1,NA,NA,NA,NA,274,2,16,2,2013,11,50,Sole proprietorship,,100,100,0,0,0,No,,1998,10,Yes,1998,15,No,No,No,,,1,1,2012,31,12,2012,Yes,4.0,DK,DK,,No,,No,,,,,,No,No,Yes,Minor obstacle,Very Severe Obstacle,Guest house services,5510,80,78000000.0,Seventy eight millions,234000000.0,100,0,0,,,,,No losses,No losses,,,,,,,Very Severe Obstacle,Minor obstacle,,,Remain the same,Increase,,No,Very Severe Obstacle,Yes,No,No,No,No,Yes,Yes,No,No,,,100,0,0,No,,,,,,,,,Moderate obstacle,Yes,DK,,No,,,No obstacle,DK,DK,DK,DK,DK,DK,DK,No,,,,,,,,,Yes,No,,,No,,,,,,,,,,,,,,,,,,,No,No,Size of loan and maturity were insufficient,,,,,No,Remain the same,No,NA,No,No,Minor obstacle,No,,,,,,,,,,No,No,No,No,No,Yes,Yes,No,No,No,Tend to disagree,No time was spent,Yes,2.0,Yes,No,,,No payments or gifts are paid,No,,,No,,,Very Severe Obstacle,Minor obstacle,No obstacle,Very Severe Obstacle,Moderate obstacle,Very Severe Obstacle,17,10,,,,,,,17.0,4,4.0,4.0,,,80,No,,,No obstacle,Moderate obstacle,Tax rates,Access to finance,DK,,,DK,,,,,,,,,7,Male,,,,,16,2,2013,12,58,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,panel,3046.0,1.0,1.0,1.0,22.0
537305,3.0,29.0,3.0,(A) with cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Textiles,Textiles,"Yes, screener and sample frame info match",Large >=100,Large >=100,"No, a firm on its own",1,NA,NA,NA,NA,274,270,19,2,2013,15,2,Sole proprietorship,,100,100,0,0,0,No,,1969,DK,No,1970,DK,No,Yes,No,,,1,1,2012,31,12,2012,Yes,3.0,5.0,DK,,No,,No,,,No,,,Yes,Yes,Yes,Moderate obstacle,No obstacle,Manufacturing bed sheets and clothes (sewing),1730,60,11000000000.0,Eleven billion,DK,40,30,30,DK,DK,DK,1990.0,DK,No losses,DK,DK,Yes,30.0,10.0,,Moderate obstacle,Major obstacle,International,,,DK,No,Yes,Minor obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,80.0,168.0,0,100,0,No,,,,,,,,,Moderate obstacle,Yes,DK,,Yes,DK,,Minor obstacle,DK,DK,DK,DK,DK,DK,DK,Yes,DK,DK,DK,DK,DK,DK,DK,DK,Yes,DK,,,No,,,,,,,,,,,,,,,,,,,DK,No,No need for a loan - establishment had sufficient capital,,,,,Yes,NA,No,NA,No,No,Minor obstacle,No,,,,,,,,,,No,No,Yes,No,No,DK,No,No,No,No,Tend to agree,No time was spent,Yes,6.0,Refuse,No,,Refusal,,Yes,DK,Refuse,No,,,Major obstacle,Moderate obstacle,Minor obstacle,No obstacle,Minor obstacle,NA,1200,1400,DK,DK,DK,DK,DK,DK,,DK,,,16.0,13.0,55,No,,,Minor obstacle,No obstacle,Transport,Business licensing and permits,2000000000.0,6000000000.0,DK,DK,DK,DK,,100000000.0,DK,DK,DK,DK,6,Male,,,,,19,2,2013,17,54,Somewhat truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,fresh,,1.0,1.0,1.0,7.0
537306,4.0,65.0,1.0,(A) with cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Electronics (31 & 32),Electronics (31 & 32),"Yes, screener and sample frame info match",Large >=100,Large >=100,"No, a firm on its own",1,NA,NA,NA,NA,274,270,20,2,2013,12,19,Sole proprietorship,,100,100,0,0,0,No,,1981,DK,DK,DK,18,No,Yes,No,,,1,7,2011,30,6,2012,Yes,4.0,6.0,1.0,,No,,No,,,Yes,4.0,8.0,Yes,Yes,Yes,Major obstacle,No obstacle,Manufacturing electrical generators,3110,90,14400000000.0,"Fourteen billions, four hundred millions",50000000000.0,10,0,90,14.0,No losses,No losses,DK,No losses,No losses,DK,DK,Yes,30.0,7.0,,Moderate obstacle,Moderate obstacle,International,,,Increase,Yes,No,No obstacle,No,,No,No,Yes,No,Yes,No,Yes,80.0,134.0,0,100,0,No,,,,,,,,,Very Severe Obstacle,Yes,DK,,Yes,DK,,Moderate obstacle,DK,DK,DK,DK,DK,DK,DK,No,,,,,,,,,Yes,DK,,,No,,,,,,,,,,,,,,,,,,,DK,DK,,,,,,Yes,NA,NA,NA,No,No,No obstacle,No,,,,,,,,,,No,No,No,No,Yes,Yes,No,No,No,No,Strongly agree,10,Yes,DK,Refuse,DK,,DK,,DK,,,DK,,,Moderate obstacle,Minor obstacle,DK,No obstacle,Minor obstacle,No obstacle,200,DK,190.0,10.0,180.0,10.0,0.0,10.0,,200,10.0,DK,14.0,No female production workers,90,DK,,,Minor obstacle,Major obstacle,Electricity,Access to finance,4000000000.0,DK,400000000.0,500000000.0,DK,DK,,DK,DK,DK,DK,DK,20,Male,,,,,20,2,2013,13,20,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.0,1.0,1.1777532353112012,15.0
537307,5.0,98.0,2.0,(B) without cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Hotel and restaurants: section H,Garments,"No, does not match",Large >=100,Large >=100,Yes,3,Establishment physically separated from HQ and other establishments of the same firm,No,No,NA,274,270,20,2,2013,16,15,DK,,100,100,0,0,0,DK,,1980,DK,Yes,1980,DK,No,DK,No,,,1,1,2012,30,12,2012,Yes,10.0,8.0,1.0,,No,,No,,,Yes,16.0,9.0,Yes,Yes,Yes,Major obstacle,No obstacle,Manufacturing clothes for men and women,1810,75,DK,,DK,DK,DK,DK,NA,NA,NA,DK,NA,NA,DK,DK,No,,DK,,No obstacle,Minor obstacle,Local,DK,Increase,Increase,No,Yes,Moderate obstacle,No,,No,No,Yes,Yes,Yes,No,No,100.0,168.0,0,100,0,No,,,,,,,,,Very Severe Obstacle,Yes,DK,,Yes,DK,,Major obstacle,DK,DK,DK,DK,DK,DK,DK,Yes,DK,DK,DK,DK,DK,DK,DK,DK,Yes,DK,,,DK,,,,,,,,,,,,,,,,,,,DK,DK,,,,,,Yes,NA,NA,NA,No,No,Moderate obstacle,No,,,,,,,,,,No,No,No,No,No,No,Yes,No,No,No,Tend to agree,DK,Yes,DK,No,No,,DK,,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,102,DK,100.0,2.0,90.0,10.0,10.0,2.0,,DK,,,14.0,11.0,95,No,,,No obstacle,Moderate obstacle,NA,Access to land,DK,DK,DK,DK,DK,DK,,DK,DK,DK,DK,DK,8,Male,,,,,20,2,2013,17,28,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.0,1.0072474934726658,1.4575643099176407,25.0
537308,6.0,30.0,3.0,(B) without cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Textiles,Textiles,"Yes, screener and sample frame info match",Large >=100,Large >=100,"No, a firm on its own",1,NA,NA,NA,NA,274,270,21,2,2013,12,33,Sole proprietorship,,100,100,0,0,0,No,,DK,DK,DK,DK,DK,No,Still in process,No,,,1,1,2012,30,12,2012,Yes,4.0,5.0,DK,,No,,No,,,DK,,,Yes,Yes,Yes,Major obstacle,Moderate obstacle,Manufacturing mosquito nets,1723,DK,DK,,DK,95,5,0,,,,DK,DK,DK,DK,DK,Yes,DK,7.0,,Minor obstacle,Moderate obstacle,National,1.0,Increase,Increase,No,No,No obstacle,Yes,Yes,Yes,Yes,No,DK,Yes,No,Yes,75.0,168.0,100,0,0,No,,,,,,,,,No obstacle,Yes,DK,,Yes,DK,,Moderate obstacle,DK,DK,DK,DK,DK,DK,DK,Yes,DK,DK,DK,DK,DK,DK,DK,DK,Yes,Yes,DK,DK,No,,,,,,,,,,,,,,,,,,,DK,No,No need for a loan - establishment had sufficient capital,,,,,Yes,DK,NA,NA,No,DK,Minor obstacle,No,,,,,,,,,,No,No,Yes,No,Yes,Yes,No,No,No,No,Tend to agree,DK,DK,,,No,,Refusal,,Yes,30.0,Refuse,No,,,Moderate obstacle,Minor obstacle,Minor obstacle,NA,Moderate obstacle,Minor obstacle,900,DK,600.0,300.0,400.0,200.0,300.0,100.0,,900,400.0,12.0,11.0,11.0,60,No,,,Moderate obstacle,No obstacle,DK,Business licensing and permits,DK,DK,DK,DK,DK,DK,,DK,DK,DK,DK,DK,4,Male,,,,,21,2,2013,13,41,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.0,1.0,1.0,7.0
537309,7.0,21.0,1.0,(A) with cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Garments,Garments,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,276,270,15,3,2013,8,17,Sole proprietorship,,100,100,0,0,0,No,,2000,2,No,2004,12,No,No,No,,,1,7,2011,30,6,2012,Yes,2.0,10.0,DK,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,Moderate obstacle,No obstacle,Manufacturing clothes for men,1810,70,6000000.0,Six million,DK,100,0,0,,,,,No losses,NA,DK,DK,No,,3.0,,No obstacle,Moderate obstacle,Local,Too many to count,Decrease,Increase,No,Yes,Major obstacle,No,,Yes,No,Yes,Yes,Yes,No,No,DK,134.0,0,100,0,No,,,,,,,,,Major obstacle,Yes,DK,,No,,,Minor obstacle,DK,40,DK,DK,DK,DK,DK,Yes,DK,DK,DK,DK,DK,DK,DK,DK,Yes,No,,,No,,,,,,,,,,,,,,,,,,,No,No,Interest rates were not favorable,,,,,No,NA,NA,NA,NA,No,Minor obstacle,Yes,Satisfy costumers request,Yes,60.0,Yes,40.0,Yes,DK,Yes,60.0,,,,,,,No,No,No,No,Tend to disagree,DK,No,,,No,,DK,,No,,,No,,,No obstacle,Major obstacle,Moderate obstacle,Major obstacle,Very Severe Obstacle,No obstacle,4,4,4.0,0.0,4.0,0.0,DK,DK,,4,0.0,12.0,12.0,No female production workers,100,No,,,No obstacle,NA,Practices of competitors in the informal sector,Access to finance,DK,DK,DK,120000.0,DK,DK,,DK,DK,DK,DK,DK,13,Male,,,,,15,3,2013,9,40,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.5451164132143609,1.565327132734748,4.206576766684695,6.0
537310,8.0,21.0,2.0,(A) with cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Garments,Garments,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,276,270,16,3,2013,16,46,Sole proprietorship,,100,100,0,0,0,No,,1975,2,DK,Never registered,30,No,No,No,,,1,1,2012,31,12,2012,Yes,3.0,6.0,DK,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,Moderate obstacle,No obstacle,Manufacturing clothes for women,1810,90,DK,,DK,100,0,0,,,,,NA,NA,100.0,0.0,,,DK,,No obstacle,Minor obstacle,Local,DK,Decrease,Increase,No,Yes,Very Severe Obstacle,No,,Yes,No,DK,Yes,Yes,No,Yes,DK,134.0,0,100,0,No,,,,,,,,,No obstacle,Yes,1.0,,DK,,,Minor obstacle,40,60,100,0,0,0,0,Yes,DK,DK,80.0,20.0,0.0,0.0,0.0,0.0,No,No,,,No,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,,,,No,NA,NA,NA,NA,No,Major obstacle,Yes,Reduce the time spent in financial transactions,Yes,80.0,Yes,70.0,Yes,30.0,Yes,50.0,,,,,,,No,No,No,No,Tend to agree,DK,No,,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,NA,Minor obstacle,NA,3,3,3.0,0.0,3.0,0.0,0.0,0.0,,DK,,,11.0,No female production workers,50,No,,,No obstacle,No obstacle,Access to finance,Access to land,DK,DK,DK,240000.0,DK,DK,,DK,DK,DK,DK,DK,30,Male,,,,,16,3,2013,17,44,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.5451164132143609,1.565327132734748,4.206576766684695,6.0
537311,9.0,40.0,3.0,(A) with cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,276,270,16,3,2013,18,0,Sole proprietorship,,100,100,0,0,0,No,,2003,DK,DK,DK,DK,No,No,No,,,1,1,2012,31,12,2012,Yes,DK,,DK,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,No obstacle,No obstacle,Manufacturing furniture,3610,100,DK,,DK,100,0,0,,,,,No losses,No losses,DK,DK,No,,DK,,No obstacle,No obstacle,Local,Too many to count,Remain the same,DK,No,Yes,Major obstacle,No,,DK,DK,No,DK,Yes,No,No,DK,134.0,0,100,0,No,,,,,,,,,Major obstacle,Yes,DK,,DK,,,No obstacle,DK,DK,DK,DK,DK,DK,DK,No,,,,,,,,,DK,DK,,,DK,,,,,,,,,,,,,,,,,,,DK,No,Interest rates were not favorable,,,,,No,NA,DK,No,No,No,Very Severe Obstacle,Yes,Satisfy costumers request,Yes,50.0,Yes,50.0,Yes,20.0,Yes,40.0,,,,,,,No,No,No,No,NA,DK,No,,,No,,DK,,No,,,No,,,Moderate obstacle,DK,NA,DK,NA,NA,12,DK,12.0,0.0,12.0,0.0,0.0,0.0,,DK,,,DK,No female production workers,60,No,,,NA,No obstacle,Access to finance,Business licensing and permits,DK,DK,DK,DK,DK,DK,,DK,DK,DK,DK,DK,3,Male,,,,,16,3,2013,18,45,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.7609557855391214,1.788278204363188,3.6652620530669973,9.0
537312,10.0,36.0,1.0,(B) without cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,276,270,18,3,2013,16,0,Sole proprietorship,,100,100,0,0,0,No,,1999,2,No,2002,18,No,No,No,,,1,1,2012,31,12,2012,Yes,4.0,DK,1.0,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,Moderate obstacle,No obstacle,Manufacturing furniture,3610,60,12000000.0,Twelve million,36000000.0,100,0,0,,,,,No losses,No losses,90.0,10.0,No,,DK,,Minor obstacle,Moderate obstacle,National,Too many to count,Increase,Increase,No,Yes,Major obstacle,Yes,Yes,Yes,No,No,No,No,No,No,70.0,120.0,100,0,0,No,,,,,,,,,No obstacle,No,,,No,,,No obstacle,40,50,60,0,40,0,0,Yes,DK,0.0,60.0,0.0,0.0,40.0,0.0,0.0,Yes,No,,,Yes,Loan,Private commercial banks,NBC (National Bank of Commerce),,Only option available,2012.0,DK,3.0,DK,Yes,Yes,No,No,No,No,DK,DK,-8.0,Yes,No,Other,,,,,No,Remain the same,No,Yes,No,No,Major obstacle,Yes,Reduce the time spent in financial transactions,Yes,40.0,Yes,40.0,Yes,20.0,Yes,50.0,,,,,,,Yes,Yes,No,No,Strongly disagree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,No obstacle,NA,No obstacle,No obstacle,4,4,4.0,0.0,4.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,12.0,No female production workers,100,No,,,NA,NA,Access to finance,Access to finance,DK,DK,0.0,100000.0,DK,0.0,,DK,DK,DK,DK,DK,14,Male,,,,,18,3,2013,17,0,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.7609557855391214,1.788278204363188,3.6652620530669973,9.0
537313,11.0,20.0,2.0,(B) without cards,Manufacturing,Tanzania,Swahili,Arusha,Arusha,No,No,City with population over 1 million,Garments,Garments,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,276,270,18,3,2013,8,48,Sole proprietorship,,100,100,0,0,0,Yes,100.0,2005,3,No,2007,12,Yes,No,No,,,1,7,2011,30,6,2012,Yes,DK,,None,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,Moderate obstacle,Minor obstacle,Manufacturing clothes for women,1810,80,DK,,DK,100,0,0,,,,,No losses,No losses,DK,DK,No,,5.0,,No obstacle,Minor obstacle,National,Too many to count,Increase,Increase,No,Yes,Major obstacle,Yes,No,No,No,Yes,No,Yes,No,No,80.0,70.0,100,0,0,No,,,,,,,,,NA,No,,,No,,,Minor obstacle,DK,40,DK,DK,DK,DK,DK,No,,,,,,,,,Yes,No,,,No,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,,,,No,NA,NA,NA,No,No,Very Severe Obstacle,Yes,Reduce the risks in financial transactions,No,,Yes,60.0,Yes,10.0,Yes,15.0,,,,,,,Yes,Yes,No,No,Tend to agree,No time was spent,No,,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,DK,Moderate obstacle,Major obstacle,NA,No obstacle,3,3,3.0,0.0,3.0,0.0,3.0,0.0,,No full-time seasonal or temporary workers,,,11.0,11.0,100,No,,,NA,NA,Access to finance,Access to land,DK,DK,0.0,150000.0,DK,DK,,DK,DK,DK,10000000.0,25000000.0,8,Female,,,,,18,3,2013,9,47,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,fresh,,1.5451164132143609,1.565327132734748,4.206576766684695,6.0
