firm_size_num,employees_now,employment_growth_rate,emp_growth_available,log_sales,capacity_util_pct,has_loan_bin,needs_finance_bin,credit_constrained,pct_internal_finance,pct_bank_finance,pct_supplier_finance,is_exporter,manager_female,manager_university,survey_year,mgmt_quality_score,infra_stress_score,obstacle_electricity_score,obstacle_finance_score,obstacle_informality_score,obstacle_workforce_score,obstacle_corruption_score,obstacle_transport_score,obstacle_customs_score,broad_sector_encoded,detailed_sector_encoded,region_encoded,legal_status_clean_encoded,country_encoded,biggest_obstacle_encoded,at_risk,distress_level,distress_signal_count,survey_weight,country,broad_sector,detailed_sector,region,firm_size,legal_status_clean
1.0,10.0,0.1111111111111111,1,17.65625646361272,100.0,1.0,0.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,1.2857142857142858,1.0,2.0,0.0,1.0,4.0,1.0,0.0,10,28,40,3,2,53,0,0,0.0,1.3287597,Kenya,Retail services,Food,Kirinyaga,Small,Private Limited
1.0,9.0,0.125,1,16.003158088101646,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,1.0,1.4285714285714286,2.0,2.0,0.0,2.0,1.0,2.0,1.0,4,28,40,3,2,35,0,1,1.0,1.3287597,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
1.0,8.0,0.0,1,17.22371907077249,100.0,1.0,1.0,0.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,4.0,0.0,10,28,40,3,2,37,0,0,0.0,1.3287597,Kenya,Retail services,Food,Kirinyaga,Small,Private Limited
1.0,16.0,0.0,1,16.811242881518265,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,1.0,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4,28,37,2,2,56,0,0,0.0,9.685157,Kenya,Manufacturing,Food,Kiambu,Small,Partnership
1.0,49.0,-0.10909090909090909,1,18.365664749961784,100.0,1.0,1.0,0.0,60.0,30.0,10.0,1.0,0.0,0.0,2018,2.0,2.2857142857142856,1.0,4.0,4.0,1.0,0.0,4.0,2.0,4,28,40,3,2,51,0,1,1.0,1.8901613,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
2.0,8.0,-0.1111111111111111,1,17.570920407491414,100.0,1.0,1.0,0.0,70.0,30.0,0.0,1.0,0.0,0.0,2018,2.0,2.1666666666666665,2.0,2.0,0.0,0.0,3.0,3.0,3.0,4,28,40,3,2,42,0,1,1.0,1.0,Kenya,Manufacturing,Food,Kirinyaga,Medium,Private Limited
1.0,7.0,0.0,1,17.997455870683535,98.0,1.0,1.0,0.0,80.0,0.0,20.0,1.0,0.0,0.0,2018,2.0,0.5714285714285714,0.0,0.0,0.0,0.0,1.0,3.0,0.0,4,28,37,3,2,60,0,0,0.0,6.808544,Kenya,Manufacturing,Food,Kiambu,Small,Private Limited
2.0,40.0,1.0,1,18.420680753952364,100.0,0.0,1.0,1.0,100.0,0.0,0.0,0.0,0.0,0.0,2018,3.0,1.0,1.0,0.0,1.0,1.0,2.0,1.0,1.0,4,28,37,2,2,56,0,1,1.0,2.5470443,Kenya,Manufacturing,Food,Kiambu,Medium,Partnership
2.0,57.0,0.05555555555555555,1,17.376348209757225,100.0,1.0,1.0,0.0,70.0,20.0,10.0,1.0,0.0,0.0,2018,3.0,2.142857142857143,2.0,2.0,0.0,2.0,3.0,3.0,3.0,4,28,40,3,2,51,0,0,0.0,1.0,Kenya,Manufacturing,Food,Kirinyaga,Medium,Private Limited
1.0,17.0,0.0,1,17.216707972959764,50.0,0.0,1.0,1.0,80.0,20.0,0.0,0.0,1.0,0.0,2018,2.0,1.8571428571428572,3.0,3.0,3.0,0.0,3.0,1.0,0.0,4,28,37,3,2,50,1,2,2.0,9.685157,Kenya,Manufacturing,Food,Kiambu,Small,Private Limited
2.0,15.0,0.0,1,16.52356082573315,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1.0,0.0,2018,2.0,2.5,3.0,3.0,0.0,0.0,3.0,3.0,3.0,4,28,37,0,2,56,0,0,0.0,3.6231718,Kenya,Manufacturing,Food,Kiambu,Medium,Limited Partnership
1.0,6.0,0.0,1,16.52356082573315,100.0,0.0,1.0,1.0,80.0,20.0,0.0,1.0,0.0,0.0,2018,2.0,2.5714285714285716,4.0,3.0,4.0,1.0,0.0,3.0,3.0,4,28,37,3,2,50,0,1,1.0,9.685157,Kenya,Manufacturing,Food,Kiambu,Small,Private Limited
3.0,45.0,0.0,1,21.12873094572124,100.0,1.0,1.0,0.0,5.0,3.0,92.0,1.0,1.0,0.0,2018,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,28,40,3,2,53,0,0,0.0,1.2139986,Kenya,Manufacturing,Food,Kirinyaga,Large,Private Limited
1.0,9.0,0.0,1,16.718179889781954,100.0,0.0,1.0,1.0,100.0,0.0,0.0,1.0,0.0,0.0,2018,2.0,0.8571428571428571,2.0,0.0,0.0,0.0,2.0,2.0,0.0,4,28,40,3,2,60,0,1,1.0,1.9398539,Kenya,Manufacturing,Food,Kirinyaga,Small,Private Limited
