idstd,id,preference,rotation,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8a,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,ETHb2,ETHb2x,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,ETHc1,ETHc2,c12,c13,c14,c15,c16,c17,c22a,c22b,c30a,c30b,d1a1x,d1a2,d1a3,d2,d2x,d3a,d3b,d3c,d4,d5a,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d15a,d16,d17,ETHd1,ETHd2,ETHd3a,ETHd3b,ETHd3c,ETHd3d,ETHd3e,ETHd4,ETHd5a,ETHd5b,ETHd6,ETHd6a,ETHd7,ETHd8,ETHd9,ETHd9a,ETHd30,d30a,d30b,ETHt30a,ETHt30b,ETHt30c,ETHt30d,e1,e2b,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,ETHg1,ETHg2,ETHg3a,ETHg3b,ETHg3c,ETHg4,ETHg5,ETHg6,g6a,g6b,g6c,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc1,k3bc2,k3e,k3f,k3hd,k4,n5a,n5b,ETHk1a,ETHk1b,k5a,k5i,k5bc1,k5bc2,k5e,k5f,k5hdj,ETHk2,ETHk3a,ETHk3b,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,ETHk4,ETHk5,ETHk6,ETHk7,ETHk8a,ETHk8,ETHk9,k15b,k15c,k15d,k16,k17,k20a1,k21,ETHk10,k30,h7a,j2,j3,j4,j5,ETHj1,ETHj2,ETHj3,ETHj4,ETHj5,ETHj5x,ETHj6,ETHj7,ETHj30a,ETHj30b,ETHj30c,ETHj30d,ETHj30e,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,ETHl2a,ETHl2b,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2b,n2e,n2f,n2i,n2p,n3,n6a,n6b,n7a,n7b,ETHn1,ETHn2,a15a1ax,a15a2a,a15a3,a15a1bx,a15a2b,a15b3,a15a1cx,a15a2c,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,stratificationregioncode,stratificationsizecode,stratificationsectorcode,panelcode,wstrict,wmedian,wweak,strata
590217,1,2,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Small,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1011,2001,19,6,2015,9,12,Limited partnership,,85,100,0,0,0,,,No,,1955,DON'T KNOW,Yes,1955,5,No,No,,No,,,Yes,8.0,2.0,0.0,3.0,,No,,,Increased,No,,,No,,,No,No,Minor Obstacle,Minor Obstacle, Manufacturing Flour,1531,95,13140426.0,   Thirteen Million One Hundred Forty  Thousand  Four hundred and tewnty six,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,10.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,No Obstacle,Minor Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,National - Main product sold mostly across Ethiopia,15.0,No,No,No obstacle,No,,No,No,No,No,No,No,,30.0,72.0,No,,,,,,,,100,0,0,100,0,0,No,,,,,,No Obstacle,Yes,,35000.0,Yes,,22000.0,Minor Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,Yes,450000.0,0.0,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,Collateral requirements were too high,,Yes,No change,Major Obstacle,Tend to agree,Senior management's time spent on dealing with regulations (,Yes,Times inspected or met with tax officials,No,No,,,,,,,,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Tend to agree,Yes,NO PAYMENTS OR GIFTS ARE PAID,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Minor Obstacle,No Obstacle,No Obstacle,Minor Obstacle,No Obstacle,74,86,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),57.0,17.0,16.0,5.0,36.0,16.0,7.0,,6,2.0,6.0,12.0,8.0,25,No,,,Minor Obstacle,Minor Obstacle,1,1,2706263,206702,10254096.0,145393.0,,14194494.0,35641822,5797311.0,7692550.0,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),No,,,2,Male,,2.0,Male,,,Male,19,6,2015,12,9,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1,1,1,1.0,1.0,1.0,2.0
590218,3,1,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Textiles,"No, does not match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1010,2001,22,6,2015,11,38,Sole proprietorship,,100,100,0,0,0,,,Yes,100.0,2012,2,No,2014,2,No,No,,No,,,Yes,3.0,4.0,0.0,0.0,,No,,,Increased,No,,,No,,,No,No,No Obstacle,No Obstacle, Manufacture of sheets,1721,90,150000.0, one hundred fifty thousand,100,0,0,,,,,,NO INTERNAL SHIPMENTS (DOES NOT APPLY),,100.0,0.0,,,,0.0,,No,,,,,,,,,,,,,,,,DOES NOT APPLY,Does Not Apply,Does Not Apply,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,4.0,No,No,No obstacle,No,,Yes,Yes,Yes,No,Yes,Yes,NONE (SPONTANEOUS),50.0,20.0,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Moderate Obstacle,No,,,No,,,No Obstacle,100,0,0,0,0,0,100,0,No,,,,,,,,,,,,No,,,No,No,No,,,,,,,,,,,,,,,,,,,,No,No,Application procedures were complex,,No,No change,Major Obstacle,Tend to disagree,2,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,Yes,DONT KNOW (SPONTANEOUS),No,Major Obstacle,Moderate Obstacle,Very Severe Obstacle,No Obstacle,Very Severe Obstacle,Very Severe Obstacle,6,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2012,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,IF ESTABLISHMENT WAS NOT IN BUSINESS in 2010,4.0,2.0,2.0,Semi-skilled production worker,Unskilled production workers,2.0,0.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,7.0,9.0,0,No,,,Moderate Obstacle,Moderate Obstacle,1,1,20000,2000,30000.0,0.0,,DONT KNOW (SPONTANEOUS),ESTABLISHMENT WAS NOT IN BUSINESS THREE YEARS AGO,0.0,0.0,250000.0,200000.0,No,,,2,Male,,,,,,,22,6,2015,12,28,Truthful,Are estimates computed with some precision,Several visits,3.0,52.0,1,1,1,1,1.0,1.0,1.0,2.0
590219,4,7,2,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Small,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1006,2001,20,7,2015,10,16,Limited partnership,,50,100,0,0,0,,,No,,1996,20,Yes,1996,40,No,No,,Yes,90.0,No,Yes,30.0,6.0,1.0,30.0,,No,,,Increased,Yes,30.0,No,No,,,Yes,No,Very Severe Obstacle,Major Obstacle, Manufacturing Flour,1531,60,66816995.0,Sixty Six Million Eight Hundred and Sixteen Thousand nine hundred and ninty five,100,0,0,,,,,,NO LOSSES,10.0,100.0,0.0,,,,30.0,,Yes,20.0,15.0,0.0,0.0,0.0,5.0,Private commercial banks,4800000.0,4800000.0,20.0,,30.0,No,,,Very Severe Obstacle,Very Severe Obstacle,Very Severe Obstacle,Major obstacle,Major obstacle,Major obstacle,Minor obstacle,National - Main product sold mostly across Ethiopia,TOO MANY TO COUNT,No,Yes,Major obstacle,Yes,Yes,No,No,Yes,No,Yes,No,,40.0,72.0,Yes,1.0,0.0,0.0,1.0,,,,10,90,0,DONT KNOW,-7,0,No,,,,,,Very Severe Obstacle,Yes,,51760.0,No,,,No Obstacle,0,10,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,Yes,Private commercial banks,2014.0,4000000.0,Yes,No,No,No,No,Yes,4000000.0,1.0,3.0,No,,No,,,1.0,10000000.0,No,Yes,,Application was approved in full,Yes,Worsened,Major Obstacle,Strongly agree,10,Yes,6.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Major Obstacle,No Obstacle,Major Obstacle,Minor Obstacle,No Obstacle,80,60,40,100,60.0,20.0,60.0,0.0,0.0,28.0,14.0,,45,5.0,LESS THAN ONE MONTH,8.0,8.0,40,No,,,No Obstacle,No Obstacle,1,2,628893,220396,58000000.0,150000.0,,61930713.0,16896200,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),Yes,300000.0,,8,Male,,,,,,,20,7,2015,11,23,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,1,1,1,1,10.99,11.63,17.78,2.0
590220,6,6,2,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Small,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1009,2001,16,7,2015,16,3,Limited partnership,,99,100,0,0,0,,,Yes,Percentage of female ownership [%],1967,DON'T KNOW,Yes,1967,40,No,Yes, GLOBALGAP,No,,,Yes,15.0,6.0,1.0,10.0,,Yes,10.0,420.0,Increased,No,,,No,,,Yes,No,Major Obstacle,Major Obstacle,manufacturing flour,1531,60,25000000.0, Twenty five million,2,0,98,1.0,No,NO LOSS,4.0,1974.0,NO LOSSES,4.0,35.0,65.0,Yes,LESS THAN ONE DAY,No,90.0,,Yes,15.0,15.0,0.0,0.0,0.0,0.0,Private commercial banks,1500000.0,1500000.0,100.0,,3.0,No,,,No obstacle,No Obstacle,Minor Obstacle,Moderate  obstacle,No obstacle,No obstacle,No obstacle,International,,Yes,No,DOES NOT APPLY (SPONTANEOUS),Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,250000.0,65.0,45.0,No,,,,,,,,0,100,0,0,100,0,No,,,,,,Very Severe Obstacle,Yes,,400000.0,Yes,1.0,,Minor Obstacle,80,100,70,30,0,0,0,0,Yes,15000000.0,0.0,0.0,0.0,30.0,0.0,70.0,0.0,0.0,0.0,0.0,Yes,0.0,5000000.0,Yes,No,Yes,Private commercial banks,2014.0,10000000.0,Yes,Yes,No,No,No,No,25000000.0,6.0,36.0,No,,Yes,6.0,36.0,7000000.0,7000000.0,No,Yes,,Application was approved in full,Yes,Improved,Very Severe Obstacle,DOES NOT APPLY,50,Yes,4.0,No,No,,,,,,,,DOES NOT APPLY,DONT KNOW,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,Major Obstacle,Moderate Obstacle,No Obstacle,Minor Obstacle,Does Not Apply,70,90,100,110,30.0,40.0,10.0,20.0,0.0,20.0,5.0,,200,150.0,2.0,6.0,6.0,90,No,,,No Obstacle,Minor Obstacle,1,2,1000000,300000,15000000.0,500000.0,,20000000.0,20000000,50000000.0,5000000.0,50000000.0,40000000.0,No,, General Manager,17,Male,,,,,,,16,7,2015,17,47,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1,1,1,10.99,11.63,17.78,2.0
590221,10,4,2,Retail Services,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Wholesale,"No, does not match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,7,7,2015,10,37,Sole proprietorship,,100,100,0,0,0,,,No,,1996,60,Yes,1996,14,No,No,,No,,,No,,,,,,No,,,Decreased,No,,,,,,No,No,No Obstacle,No Obstacle, Oil Seeds Export,5121,75,275000.0,two hundred and seventyfive thousand,0,0,100,,,,,1996.0,NO LOSSES,NO LOSS,,,,,,,DONT KNOW (SPONTANEOUS),No,,,,,,,,,,,,,,,,Very Severe Obstacle,Minor Obstacle,No Obstacle,DOES NOT APPLY,No obstacle,No obstacle,No obstacle,,,,No,No obstacle,No,,No,No,No,No,No,No,,,,No,,,,,,,,0,100,0,0,100,0,No,,,17.0,Square Yards,,Major Obstacle,No,,,No,,,No Obstacle,0,0,100,0,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,No,No,,,,,,,,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No change,Very Severe Obstacle,DOES NOT APPLY,7,Yes,2.0,No,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,5,2,60,60,,,,,,,,DON'T KNOW (SPONTANEOUS),NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,,,5,No,,,No Obstacle,Does Not Apply,1,2,20112,22438,,,-9.0,,250000,,,,,No,,,21,Male,,,,,,,7,7,2015,11,45,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1,1,1,10.99,11.63,17.78,2.0
590222,12,12,3,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Small,Small,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1005,2002,8,7,2015,10,20,Partnership,,50,100,0,0,0,,,Yes,50.0,1997,11,Yes,1997,17,No,No,,No,,,Yes,10.0,4.0,0.0,25.0,,No,,,Decreased,No,,,No,,,No,No,Minor Obstacle,No Obstacle, Produced Flour,1531,100,12289000.0,   Twelve Million Two Hundred Eighty Nine Thousand,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,180.0,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Local  main product sold mostly in same municipality where,TOO MANY TO COUNT,No,No,No obstacle,No,,No,No,No,No,No,No,,90.0,60.0,No,,,,,,,,100,0,0,100,0,0,No,,,,,,No Obstacle,Yes,DON'T KNOW,,No,,,No Obstacle,20,40,50,50,0,0,0,0,No,,,,,,,,,,,,No,,,Yes,Yes,Yes,Private commercial banks,2013.0,4000000.0,Yes,No,No,No,Yes,No,8000000.0,10.0,24.0,No,,No,,,DON'T KNOW,,Yes,Yes,,Application was approved in part,Yes,Improved,No Obstacle,Tend to disagree,NO TIME WAS SPENT,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,Does Not Apply,No Obstacle,18,18,15,15,12.0,6.0,12.0,0.0,0.0,2.0,3.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,10.0,10.0,80,No,,,No Obstacle,No Obstacle,8,3,180000,73400,1352000.0,DONT KNOW (SPONTANEOUS),,1352000.0,8000000,19000000.0,4000000.0,1500000.0,DONT KNOW (SPONTANEOUS),Yes,20000.0,,8,Male,,,,,,,8,7,2015,12,17,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1,1,1,1.0,1.0,1.0,2.0
590223,14,2,1,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Medium,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1010,2001,9,7,2015,15,11,Others (Specify), private limited company,51,48,52,0,0,European,,No,,2004,8,Yes,2004,16,No,Still in Process,ISO 9001,No,,,Yes,Number of power outages in a month,2.0,1.0,12.0,,Yes,10.0,DONT KNOW (SPONTANEOUS),No change,No,,,No,,,Yes,Yes,Minor Obstacle,No Obstacle," Food Complex, Pasta",1544,70,41000000.0,Fourty one million,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,30.0,,No,,,,,,,,,,,,,,,,No obstacle,No Obstacle,No Obstacle,DONT KNOW,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,National - Main product sold mostly across Ethiopia,12.0,No,Yes,Very Severe Obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,10.0,48.0,No,,,,,,,,0,100,0,0,100,0,No,,,,,,No Obstacle,No,,,No,,,No Obstacle,0,25,50,40,10,0,0,0,Yes,1053200.0,0.0,25.0,13.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,No,,,Yes,Yes,Yes,State-owned banks or government agency,2014.0,12000000.0,Yes,Yes,Yes,Yes,No,No,50000000.0,12.0,36.0,No,,No,,,1.0,11000000.0,No,No,Other,,Yes,No change,No Obstacle,Tend to disagree,10,No,,,Yes,Yes,Yes,No,The decisions are unfair,,,,Tend to disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,No,,NO PAYMENTS,,No,,,No,,,Very Severe Obstacle,Very Severe Obstacle,Major Obstacle,No Obstacle,Very Severe Obstacle,No Obstacle,152,72,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),100.0,52.0,50.0,25.0,25.0,4.0,25.0,,23,13.0,LESS THAN ONE MONTH,8.0,8.0,80,No,,,No Obstacle,Minor Obstacle,12,1,4312918,1022821,11500384.0,738422.0,,17574545.0,12340890,12406695.0,649133.0,50000000.0,19000000.0,DONT KNOW (SPONTANEOUS),,,1,Male,,1.0,Male,,1.0,Male,9,7,2015,16,7,Truthful,Are taken directly from establishment records,Several visits,3.0,37.0,1,2,1,1,9.78,10.09,10.22,16.0
590224,15,4,3,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Medium,Medium,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1003,2001,23,6,2015,9,27,Sole proprietorship,,100,100,0,0,0,,,No,,2001,25,Yes,2001,13,No,No,,No,,,Yes,15.0,6.0,0.0,2.0,,Yes,25.0,DONT KNOW (SPONTANEOUS),Decreased,No,,,Yes,20.0,12.0,Yes,No,Moderate Obstacle,No Obstacle,Manufacturing Of Puscherized Milk,1520,99,63770363.0,   Sixty Three Million Seven Hundred Seventy Thousand three hundred and sixty three,100,0,0,,,,,,NO LOSSES,NO LOSS,97.0,3.0,Yes,3.0,No,120.0,,Yes,4.0,4.0,0.0,0.0,0.0,0.0,State-owned banks or government agency,5226000.0,5226000.0,30.0,,105.0,No,,,No obstacle,No Obstacle,No Obstacle,No obstacle,DOES NOT APPLY,No obstacle,No obstacle,National - Main product sold mostly across Ethiopia,2.0,No,No,DOES NOT APPLY (SPONTANEOUS),No,,No,No,No,No,No,No,,70.0,84.0,No,,,,,,,,100,0,0,0,100,0,No,,,,,,No Obstacle,Yes,,108000.0,No,,,No Obstacle,20,30,20,0,80,0,0,0,No,,,,,,,,,,,,No,,,Yes,Yes,Yes,State-owned banks or government agency,2014.0,4500000.0,Yes,Yes,Yes,Yes,Yes,No,4500000.0,12.0,36.0,No,,Yes,10.0,36.0,2.0,6500000.0,Yes,Yes,,Application was approved in full,Yes,Worsened,No Obstacle,Strongly agree,NO TIME WAS SPENT,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,No,,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,94,55,55,45,49.0,45.0,12.0,9.0,28.0,13.0,8.0,,25,DONT KNOW (SPONTANEOUS),LESS THAN ONE MONTH,9.0,8.0,72,No,,,No Obstacle,No Obstacle,2,3,4185470,165352,41114879.0,2662088.0,,48127789.0,32359523,13902012.0,8496091.0,30000000.0,10000000.0,No,,,13,Male,,2.0,Male,,3.0,Female,23,6,2015,11,38,Truthful,Are taken directly from establishment records,Several visits,3.0,26.0,1,2,1,1,9.78,10.09,10.22,16.0
590225,16,5,3,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Medium,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1010,2001,22,6,2015,16,5,Sole proprietorship,,100,100,0,0,0,,,No,,1990,4,Yes,1990,10,No,No,,No,,,Yes,12.0,5.0,2.0,11.0,,Yes,95.0,DONT KNOW (SPONTANEOUS),Decreased,No,,,Yes,12.0,4.0,Yes,Yes,Moderate Obstacle,Minor Obstacle,"Coffee Processing , Arabica Coffee",1549,100,24000000.0,   Twenty Four Million,100,0,0,,,,,,NO LOSSES,NO LOSS,90.0,10.0,Yes,5.0,No,365.0,,Yes,1.0,Number of Application Still in Process,0.0,0.0,0.0,0.0,Private commercial banks,735000.0,735000.0,10.0,,30.0,No,,,Minor obstacle,No Obstacle,Major Obstacle,Moderate  obstacle,DOES NOT APPLY,Moderate  obstacle,DOES NOT APPLY,National - Main product sold mostly across Ethiopia,30.0,No,No,Minor obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,50000.0,70.0,56.0,No,,,,,,,,60,40,0,30,70,0,Yes,90.0,Yes,,,,No Obstacle,Yes,11.0,,No,,,No Obstacle,50,50,90,10,0,0,0,0,Yes,126000.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,107000.0,265000.0,Yes,No,Yes,Private commercial banks,2014.0,4000000.0,Yes,Yes,No,Yes,No,No,15000000.0,200.0,30.0,No,,No,,,1.0,4000000.0,No,No,Application procedures were complex,,Yes,Worsened,Minor Obstacle,Tend to disagree,20,No,,,No,,,,,,,,Strongly disagree,Tend to agree,Tend to agree,Strongly disagree,Tend to agree,No,,NO PAYMENTS,,No,,,No,,,Minor Obstacle,Very Severe Obstacle,Moderate Obstacle,No Obstacle,Moderate Obstacle,Moderate Obstacle,144,127,108,80,39.0,105.0,28.0,9.0,2.0,3.0,14.0,,NO FULL-TIME SEASONAL OR TEMPORARY WORKERS,,,12.0,10.0,20,Yes,70.0,10.0,Moderate Obstacle,Moderate Obstacle,13,3,2500000,45000,14000000.0,275000.0,,16820000.0,24700000,902000.0,3600000.0,9000000.0,12000000.0,Yes,100000.0,,20,Male,,10.0,Male,,,,22,6,2015,17,3,Truthful,Are taken directly from establishment records,Several visits,3.0,24.0,1,2,1,1,9.78,10.09,10.22,16.0
590226,18,8,3,Manufacturing,17,Amharic,AddisAbaba,AddisAbaba,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Large,Large,"No, a firm on its own",1,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,1011,2001,22,6,2015,9,9,Shareholding company with non-traded shares or shares traded,,Do not know,100,0,0,0,,,Yes,DON'T KNOW,1960,DON'T KNOW,Yes,1960,11,No,Yes,ISO 2200,No,,,Yes,15.0,2.0,0.0,5.0,,No,,,Increased,No,,,No,,,Yes,Yes,Minor Obstacle,Minor Obstacle,Manufacture Cerifam (Food's For Baby),1531,33,120278838.0,   One Hundred Twenty Million Two Hundred Seventy Eight thousand eight hundred and thirt eight,100,0,0,,,,,,NO LOSSES,NO LOSS,100.0,0.0,,,,15.0,,No,,,,,,,,,,,,,,,,Minor obstacle,Minor Obstacle,Minor Obstacle,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,National - Main product sold mostly across Ethiopia,TOO MANY TO COUNT,Yes,No,No obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,,85.0,96.0,No,,,,,,,,100,0,0,0,100,0,Yes,DONT KNOW (SPONTANEOUS),Yes,,,,No Obstacle,Yes,1.0,,No,,,No Obstacle,0,0,90,3,7,0,0,0,Yes,910935.0,993470.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,Yes,4939967.0,0.0,Yes,Yes,Yes,State-owned banks or government agency,2014.0,5000000.0,Yes,Yes,Yes,No,No,No,9600607.0,5.0,60.0,No,,No,,,4.0,21709286.0,No,Yes,,Application was approved in full,Yes,Improved,No Obstacle,Tend to agree,2,No,,,No,,,,,,,,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,DOES NOT APPLY,Yes,NO PAYMENTS OR GIFTS ARE PAID,NO PAYMENTS,,No,,,No,,,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,No Obstacle,193,185,DONT KNOW (SPONTANEOUS),DONT KNOW (SPONTANEOUS),103.0,90.0,32.0,49.0,22.0,26.0,36.0,,13,6.0,2.0,12.0,10.0,15,Yes,DONT KNOW (SPONTANEOUS),90.0,Minor Obstacle,Minor Obstacle,8,3,9138014,601513,68510302.0,7434946.0,,101488749.0,175466291,10394355.0,11457877.0,40000000.0,50000000.0,Yes,1250000.0,,6,Male,,18.0,Male,,,,22,6,2015,10,41,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,3,1,1,1.0,1.0,1.0,30.0
