idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1595476,6,1,3,1,1,1,1,170,1,1,1,18,6,2025,13,18,2024,7,7,17,27,2.0,1.0,1.0,1.0,,2,,1,100,0,0,0,1,20.0,2005,20,2005,25,2,1,ISO22000/2025,2,,,,1,4.0,8.0,30.0,1.0,,1,5.0,2,,2,,,,2,2,,,1,2,,1,4,1,75,88550000.0,Eighty Eight million five hundred fifty thousand,130000000.0,one hundred thirty million,60.0,100,0,0,,,,,,,,,,20,80,2.0,,,,,,,,1,1.0,4,3,2,2.0,1.0,2.0,1.0,3.0,3.0,4.0,2.0,,1.0,1.0,2,-4.0,3.0,1,2,2,2,2,,,2,,1,2000000.0,,,,,,,,1,30.0,2.0,3,2,,2,1,50,0,0,50,0,0,0,1,2500000.0,1000000.0,50.0,,0.0,,0.0,,50.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,3.0,,,1,60,3.0,,0.0,-5.0,40,3.0,,-5.0,0,2,,,,,48,1,2,1,24.0,,2,,2,,0.0,,2,,,1,1.0,2.0,1,2,1,2,1,1,2,2,1,1,4,0,2,3,1,15,5,11,12,14,7,8,1,6,3,13,2,9,4,10,14,15,5,11,12,14,7,8,1,6,3,13,2,9,4,10,170,450,80.0,,130.0,40.0,35.0,12.0,,75,35,20,2,,,,,,,2,,,0,0,,,2,,,2,,1,2,-9,35000.0,-9,,,7000,12000000,1320000.0,20000000.0,,300000000.0,30,18,6,2025,14,56,1,1,1,,,4,1,1,1,2,1040,1,3,1,1,1.0,1.0,1.2925689,28
1595477,11,1,2,1,1,1,1,250,1,1,1,23,5,2025,11,36,2024,7,7,17,19,2.0,1.0,1.0,1.0,,3,,1,100,0,0,0,2,,2001,50,2001,35,2,2,,2,,,,1,6.0,1.0,20.0,10.0,,1,25.0,2,,2,,,,1,2,,,1,2,,1,3,1,98,185089869.0,One hundred eighty-five million eighty-nine thousand eight hundred sixty-nine,302560736.0,Three hundred two million five hundred sixty thousand seven hundred thirty-six,95.0,100,0,0,,,,,,,,,,45,55,1.0,China,1.0,2.0,5.0,1.0,4.0,20.0,2,,3,4,4,3.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,3.0,2.0,2.0,2,3.0,3.0,1,2,2,2,2,,,2,,2,,,,,,,,,2,,,3,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,3.0,,,2,85,3.0,,1.0,5.0,80,3.0,,10.0,5,1,8.0,2.0,2.0,,35,2,2,1,-5.0,,2,,2,,0.0,,2,,,2,,,3,2,1,2,1,2,2,1,2,2,2,2,2,2,2,13,12,2,11,4,14,6,7,3,1,8,15,10,5,9,11,13,12,2,11,4,14,6,7,3,1,8,15,10,5,9,150,123,10.0,,110.0,40.0,85.0,25.0,,52,40,18,2,,,,,,,2,,,150,45,15.0,6.0,2,,,2,,3,2,450,3000.0,25,1.0,,580,21329945,125769.0,36786954.0,,1200000000.0,30,23,5,2025,12,29,1,1,1,,,4,1,1,1,2,1050,1,2,1,1,16.612911,16.751377,21.815855,14
1595478,14,1,3,1,1,1,1,250,2,1,1,22,5,2025,11,20,2024,7,7,17,35,,,,,,2,,2,100,0,0,0,2,,1963,12,1963,27,2,1,ISO: 9001,2,,,,1,8.0,15.0,30.0,15.0,,1,10.0,2,,2,,,,1,1,5.0,24.0,1,1,7.0,1,1,1,85,600000000.0,Six hundred million,400000000.0,Four hundred million,100.0,100,0,0,,,,,,,,,,95,5,1.0,"China, Hong Kong SAR",1.0,6.0,0.0,10.0,0.0,5.0,2,,1,1,3,3.0,1.0,3.0,1.0,2.0,3.0,3.0,2.0,,1.0,1.0,2,-4.0,3.0,3,2,1,2,1,1.0,"Introduced a high-quality soyabean blend, formulated and processed with precision to address malnutrition. Designed to provide essential proteins, vitamins, and minerals, ensuring nutritional support for individuals affected by food insecurity",1,"The establishment developed and implemented a high-quality formulation process using roasted soy flour and maize flour. This improved process ensures enhanced nutritional content and shelf stability, making the final product particularly suitab",2,,,,,,,,,2,,,2,2,,2,2,100,0,0,0,0,0,0,1,100000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,1,25,3.0,,0.0,0.0,30,3.0,,15.0,0,1,4.0,2.0,1.0,6.0,96,2,2,1,-5.0,,2,,2,,0.0,,1,8.0,2.0,1,5.0,2.0,2,0,2,2,0,3,3,2,1,0,2,1,1,3,1,3,12,5,2,8,13,4,11,9,14,10,6,1,15,7,14,3,12,5,2,8,13,4,11,9,14,10,6,1,15,7,162,150,65.0,,80.0,82.0,28.0,56.0,,43,18,19,2,,,,,,,1,4.0,4.0,0,88,36.0,6.0,2,,,1,1.0,2,1,3900,50000.0,-9,,,1200,12000000,1300000.0,300000000.0,,10000000000.0,35,22,5,2025,12,29,1,2,2,1.0,9.0,4,1,1,1,2,1079,1,3,1,1,1.0,1.0,1.2925689,28
1595479,19,1,3,1,1,1,1,308,1,1,1,22,5,2025,9,55,2024,7,7,17,36,6.0,2.0,,,1.0,4,,1,100,0,0,0,1,20.0,1965,30,1966,28,2,2,,2,,,,1,10.0,2.0,30.0,2.0,,1,22.0,2,,2,,,,1,1,18.0,24.0,1,2,,1,2,1,100,330082511.0,Three Hundred Thirty Million Eighty Two Thousand Five Hundred Eleven,95989743.0,Ninety Five Million Nine Hundred Eighty Nine Thousand Seven Hundred Forty Three,89.0,100,0,0,,,,,,,,,,70,30,1.0,Bahamas,1.0,5.0,8.0,8.0,8.0,1.0,1,2.0,4,3,2,3.0,1.0,1.0,1.0,2.0,6.0,2.0,1.0,3.0,1.0,2.0,1,5.0,2.0,1,1,2,2,1,1.0,They began producing high quality of pasta,2,,2,,,,,,,,,1,90.0,-8.0,3,2,,2,2,90,10,0,0,0,0,0,1,3000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,1,60,3.0,,0.0,-5.0,60,3.0,,-5.0,0,2,,,,,36,1,1,1,20.0,,2,,1,30.0,-9.0,,2,,,1,6.0,-8.0,2,3,2,3,0,3,1,4,0,2,2,0,3,2,1,4,13,11,10,6,2,14,3,15,9,12,8,7,1,5,8,4,13,11,10,6,2,14,3,15,9,12,8,7,1,5,308,476,65.0,,200.0,108.0,92.0,48.0,,25,125,50,2,,,,,,,2,,,0,0,,,2,,,2,,2,1,125,8716.0,65,1.0,,4438,26738120,2941193.0,201948779.0,,900000000.0,30,19,8,2025,21,35,1,1,2,2.0,10.0,4,1,1,1,2,1071,1,3,1,1,12.629431,12.663556,30.835106,28
1595480,21,1,2,4,1,1,4,87,1,1,3,6,5,2025,10,40,2024,7,7,17,31,2.0,1.0,1.0,1.0,,3,,2,100,0,0,0,2,,2005,32,2005,19,2,2,,2,,,,1,6.0,6.0,0.0,,100000.0,2,,2,,1,-5.0,1.0,0.0,1,1,28.0,24.0,2,1,60.0,1,1,1,98,87950943.0,Eighty seven million Nine hundred fifty thousand Nine hundred forty three,24293000.0,Twenty four million two hundred ninety three thousand,20.0,100,0,0,,,,,,,,,,15,85,2.0,,,,,,,,2,,1,3,1,-7.0,1.0,2.0,1.0,3.0,6.0,4.0,2.0,,4.0,3.0,1,-4.0,3.0,1,2,2,1,2,,,2,,2,,,,,,,,,2,,,4,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,1,75,3.0,,0.0,-5.0,90,3.0,,-5.0,1,1,2.0,2.0,2.0,,48,1,1,1,1.0,,1,4.0,1,15.0,0.0,,2,,,1,1.0,2.0,3,3,0,0,0,1,3,0,0,1,4,4,1,2,2,5,12,13,3,11,7,10,9,6,2,14,8,15,4,1,11,5,12,13,3,11,7,10,9,6,2,14,8,15,4,1,87,105,55.0,,52.0,35.0,6.0,3.0,,9,20,23,1,52.0,,0.0,,6.0,,1,4.0,4.0,0,0,,,2,,,1,1.0,0,0,-9,110000.0,-9,,,750,4759524,3000.0,27267004.0,,154000000.0,35,6,5,2025,13,45,1,1,1,,,3,1,2,2,3,1061,4,2,1,1,3.827957,3.7763886,5.911222,124
1595481,23,1,2,4,1,1,4,12,2,1,3,15,5,2025,9,17,2024,7,7,17,28,,,,,,3,,1,100,0,0,0,1,100.0,2011,4,2011,14,1,2,,2,,,,1,10.0,3.0,0.0,10.0,,2,,2,,2,,,,1,1,26.0,24.0,2,2,,1,-7,1,80,9000000.0,Nine Million,4500000.0,Four Million Five Hundred Thousand,30.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,3,,,,,,,,,,,,1,5.0,2.0,2,1,2,2,2,,,2,,2,,,,,,,,,1,-5.0,2.0,2,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,4.0,,,2,20,3.0,,0.0,0.0,25,3.0,,-5.0,0,1,1.0,2.0,2.0,,48,3,1,2,,-7.0,2,,2,,0.0,,2,,,1,1.0,2.0,4,3,0,0,0,4,0,4,0,0,4,3,4,4,4,4,3,10,6,9,12,11,1,2,7,8,13,14,15,5,6,4,3,10,6,9,12,11,1,2,7,8,13,14,15,5,12,12,40.0,,8.0,4.0,8.0,0.0,,6,2,0,2,,,,,,,2,,,0,0,,,2,,,2,,0,0,-9,3500.0,-9,,,550,360000,0.0,6000000.0,,13000.0,1,15,5,2025,11,30,1,4,1,,,3,1,2,2,3,1079,4,2,1,1,3.827957,3.7763886,5.911222,124
1595482,27,1,2,3,1,1,3,281,2,1,1,6,5,2025,11,16,2024,7,7,17,16,,,,,,2,,1,100,0,0,0,1,33.0,1998,140,1998,9,2,2,,1,-6.0,2.0,0.0,1,10.0,5.0,0.0,,100000.0,1,33.0,2,,2,,,,1,2,,,2,1,10.0,2,4,1,70,80000000.0,Eighty million,50000000.0,Fifty Million,80.0,100,0,0,,,,,,,,,,10,90,2.0,,,,,,,,2,,4,3,3,3.0,1.0,2.0,1.0,1.0,5.0,3.0,2.0,,-7.0,3.0,1,31.0,3.0,3,2,2,2,1,2.0,We started to produce high quality products and enhanced the quality standard from 540 to 546,2,,2,,,,,,,,,2,,,4,2,,2,2,20,0,0,80,0,0,0,1,10000000.0,0.0,,10000000.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,1,2,1,1.0,2024.0,80000000.0,1.0,1.0,2.0,2.0,2.0,2.0,100000000.0,2,1,2,,2.0,90.0,2,30,4.0,Mobile money,0.0,0.0,5,3.0,,-5.0,36,1,8.0,2.0,2.0,,30,1,1,2,,3.0,2,,2,,0.0,,1,15.0,2.0,1,1.0,2.0,4,0,2,2,2,4,0,4,2,1,4,0,4,4,4,15,6,14,12,11,1,13,5,10,9,7,8,2,4,3,11,15,6,14,12,11,1,13,5,10,9,7,8,2,4,3,81,81,60.0,,55.0,26.0,5.0,16.0,,20,20,15,1,40.0,,15.0,,19.0,,2,,,0,400,150.0,1.0,1,0.0,6.0,1,1.0,1,1,-9,37000.0,-9,,,6000,10000000,2000000.0,14000000.0,,200000000.0,30,6,5,2025,13,31,1,4,1,,,3,1,2,2,3,1061,3,2,1,1,9.48255,12.124304,34.269554,89
1595483,28,1,2,2,1,1,2,29,2,1,1,10,5,2025,11,35,2024,7,7,17,14,,,,,,2,,1,100,0,0,0,2,,2002,55,2002,10,2,2,,2,,,,1,16.0,4.0,0.0,12.0,,2,,2,,2,,,,2,1,10.0,24.0,2,2,,2,4,1,80,99567430.0,Ninety nine million five hundred sixty seven thousand four hundred thirty,40552698.0,Forty Million five hundred fifty two thousand six hundred ninety eight,60.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,2,3,3,1.0,1.0,1.0,1.0,1.0,4.0,2.0,2.0,,4.0,1.0,2,-4.0,3.0,2,2,2,2,2,,,1,They opened a new laboratory and the manual packaging was replaced by digital method,2,,,,,,,,,2,,,3,2,,2,2,90,10,0,0,0,0,0,1,6000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,1,2,2,,,,,,,,,,,2,2,2,1.0,,,1,65,3.0,,0.0,0.0,45,3.0,,-5.0,0,1,11.0,2.0,1.0,5.0,210,1,1,2,,2.0,2,,2,,-9.0,,2,,,1,6.0,2.0,1,0,1,2,0,0,1,3,0,0,3,0,2,2,0,5,13,12,3,2,7,15,11,8,10,4,14,1,6,9,8,5,13,12,3,2,7,15,11,8,10,4,14,1,6,9,22,25,85.0,,7.0,15.0,0.0,5.0,,5,2,0,2,,,,,,,1,4.0,0.0,0,0,,,2,,,1,1.0,0,0,11220,143588.0,60,1.0,,68798,4950000,936580.0,48569853.0,,100000000.0,12,10,5,2025,16,37,1,1,1,,,2,1,2,2,3,1061,2,2,1,1,25.989052,26.082499,52.758854,55
1595484,32,1,2,5,1,1,5,20,2,1,1,13,6,2025,13,12,2024,7,7,17,6,,,,,,3,,2,100,0,0,0,1,100.0,2017,8,2017,7,2,2,,2,,,,1,4.0,2.0,1.0,1.0,,2,,2,,2,,,,-7,2,,,2,2,,-7,3,1,100,27437614.0,Twenty-seven million four hundred thirty seven thousand six hundred fourteen,24917821.0,Twenty-four million nine hundred seventeen thousand eight hundred twenty one,72.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,1,1.0,4,4,4,1.0,2.0,,1.0,1.0,4.0,2.0,1.0,1.0,4.0,3.0,1,3.0,2.0,1,1,2,2,2,,,2,,2,,,,,,,,,2,,,3,2,,1,1,74,0,0,26,0,0,0,1,6241000.0,8796500.0,80.0,,0.0,,0.0,,20.0,,0.0,,0.0,,0.0,,1,1,1,2.0,2022.0,40000000.0,1.0,1.0,1.0,2.0,2.0,2.0,52000000.0,2,1,2,,1.0,47.0,2,95,3.0,,0.0,-5.0,86,3.0,,-5.0,1,1,5.0,2.0,2.0,,48,3,1,2,,3.0,2,,2,,0.0,,2,,,1,8.0,2.0,3,3,2,1,0,0,2,1,0,0,1,1,2,2,3,11,12,4,10,2,8,5,3,14,7,6,13,1,15,9,1,11,12,4,10,2,8,5,3,14,7,6,13,1,15,9,27,18,21.0,,25.0,2.0,8.0,2.0,,6,3,16,2,,,,,,,2,,,0,26,9.0,1.0,2,,,1,1.0,0,1,-9,46280.0,-9,,,0,1672163,117044.0,3480600.0,,400000000.0,18,13,6,2025,14,29,1,2,1,,,2,1,2,2,4,1920,5,2,1,1,4.603066,4.6254134,10.606657,155
1595485,34,1,2,1,1,1,1,60,1,1,1,23,5,2025,10,22,2024,7,7,17,19,2.0,1.0,1.0,1.0,,3,,1,100,0,0,0,2,,1936,15,1936,38,2,2,,2,,,,2,,,,,,1,35.0,2,,2,,,,-6,2,,,2,2,,2,2,1,95,174065139.0,One hundred seventy-four million sixty-five thousand one hundred thirty-nine,101420534.0,One hundred one million four hundred twenty thousand five hundred thirty-four,95.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,2,,3,3,3,2.0,1.0,2.0,1.0,1.0,2.0,4.0,1.0,4.0,2.0,2.0,2,2.0,1.0,1,2,2,2,2,,,2,,2,,,,,,,,,2,,,3,2,,2,2,100,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,2,2,2,3.0,,,1,80,3.0,,1.0,5.0,68,3.0,,10.0,2,1,3.0,2.0,2.0,,42,2,2,1,-5.0,,2,,2,,0.0,,2,,,2,,,2,2,2,2,1,1,2,2,2,2,3,2,2,1,2,14,11,12,2,13,7,10,5,6,4,8,15,1,3,9,11,14,11,12,2,13,7,10,5,6,4,8,15,1,3,9,120,130,10.0,,70.0,50.0,40.0,30.0,,40,20,10,2,,,,,,,2,,,120,35,15.0,6.0,2,,,2,,3,1,450,3000.0,25,1.0,,350,8625364,117598.0,11539937.0,,523695698.0,30,23,5,2025,11,15,1,1,1,,,4,1,1,1,2,1061,1,2,1,1,1.6979423,1.6607375,2.1348686,14
