idstd,id,recnumber,rotation,cards,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4a,a4b,a5,a6a,a6b,a7,a7a,a8,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6a,b6b,b7,b7a,b8,c3,c4,c5,c6,c7,c8,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22a,c22b,c28,c30a,c30b,d1a1x,d1a2,d1a3,GHAd1a1bx,GHAd1a2b,GHAd1a1cx,GHAd1a2c,d2,d2x,n3,d3a,d3b,d3c,d4,d6,d7,d8,d10,d11,d12a,d12b,d13,d14,d16,d17,GHAd12a,GHAd12ax,GHAd12b1x,GHAd12b2,GHAd12b2x,GHAd12c1x,GHAd12c2,GHAd12c2x,GHAd12d1x,GHAd12d2,GHAd12d2x,GHAd12ea,GHAd12eb,GHAd12ec,GHAd12ed,d30a,d30b,e1,e2b,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,f2,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g6a,g6b,g6c,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5i,k5bc,k5e,k5f,k5hdj,k6,k7,k8,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a,k21,k30,MMs1,MMs2,MMs3,MMs4,MMs5,MMs6,MMs7,MMs8,MMs9,MMs10,MMs11a,MMs11b,MMs11c,MMs11d,MMs11e,MMs11f,MMs12a,MMs12b,MMs12c,MMs12d,h7a,j2,j3,j4,j5,j6a,j6,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a,l4b,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,l30a,l30b,m1a,m1d,n2a,n2e,n2f,n2b,n2ra,n2rb,n2i,n2j,n6a,n6b,n7a,n7b,a15a2,a15a3,a15b2,a15b3,a15c2,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,panel,idquest,wstrict,wmedian,wweak,strata
557272,2,2,3,(B) without cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Food,Food,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,10027,10000,8,2,2013,10,10,Sole proprietorship,,100,100,0,0,0,Yes,100.0,1984,9,No,DK,29,Yes,No,No,,,Yes,10.0,11.0,DK,,No,,No,,,Yes,10.0,24.0,No,No,Yes,Major obstacle,Minor obstacle,Manufacturing bakery products,1541,100,Does not apply,,,,86400,Eighty six thousand four hundred,68400,80,20,0,,,,2003.0,No losses,5,100.0,0.0,,,1.0,,49656.0,Fourty nine thousand six hundred and fifty six,Bread flour,39336.0,Fourty nine thousand eight hundred and ninety six,Sugar,5760.0,Five Thousand Seven Hundred And Sixty Ghana Cedis,Magarine,4560.0,Four Thousand Five Hundred And Sixty Ghana Cedis,0.0,0.0,0.0,0.0,Minor obstacle,NA,Local,Too many to count,No,DK,No obstacle,No,,No,Yes,No,No,No,No,No,100.0,45.0,100,0,0,No,,,,,,,,,No obstacle,No,,,Yes,DK,,Minor obstacle,0,DK,100,0,0,0,0,Yes,4000.0,DK,100.0,0.0,0.0,0.0,0.0,0.0,No,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,No,Major obstacle,No,,,,,,,,,,Yes,Yes,No,No,No,No,No,Yes,No,No,Strongly disagree,No time was spent,Yes,2.0,No,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,No obstacle,6,8,5.0,1.0,5.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,10.0,No female production workers,0,No,,,No obstacle,No obstacle,Electricity,Business licensing and permits,16200,44340.0,DK,DK,4000.0,0.0,,0.0,DK,DK,6000.0,DK,29,Female,,,,,8,2,2013,11,59,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1111.0,1.0,2.1410598551277165,23.655427264614577,2.0
557273,4,4,1,(B) without cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Garments,Garments,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,1027,10000,17,1,2013,13,8,Sole proprietorship,,100,100,0,0,0,Yes,100.0,1986,1,No,2007,27,Yes,No,Yes,Application denied,Yes,No,,,,,Yes,100.0,No,,,The establishment does not use water for production,,,No,No,Yes,Major obstacle,No obstacle,Manufacturing wearing apparel,1810,60,Ladies long dress,40.0,Does not apply,,DK,,DK,100,0,0,,,,,20,DK,70.0,30.0,No,,30.0,,-9.0,,Fabrics,-9.0,,Lace,-9.0,,Does not apply,,,70.0,30.0,0.0,0.0,Minor obstacle,Major obstacle,Local,DK,No,DK,Moderate obstacle,No,,Yes,Yes,No,No,No,No,Yes,DK,60.0,0,100,0,No,,,,,,,,,Major obstacle,No,,,No,,,Minor obstacle,0,20,100,0,0,0,0,No,,,,,,,,,No,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,DK,No,,,,,,,,,,No,No,No,No,No,No,No,No,No,No,Tend to agree,No time was spent,Yes,2.0,No,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Major obstacle,Very Severe Obstacle,No obstacle,Major obstacle,Moderate obstacle,5,2,4.0,1.0,4.0,0.0,1.0,0.0,,1,1.0,6.0,13.0,13.0,1,No,,,Minor obstacle,Major obstacle,Electricity,Access to finance,DK,DK,0.0,0,0.0,60.0,,0.0,DK,DK,DK,DK,27,Female,,,,,17,1,2013,14,10,Truthful,Are in some case taken from books in some case estimates,One visit in face-to-face interview with one person,,,1,1035.0,1.2893214877588806,1.4076254055847965,17.755315992803958,17.0
557274,5,5,3,(B) without cards,Other services,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Garments,Wholesale,"No, does not match",Medium >=20 and <=99,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,1027,1000,4,12,2012,13,33,Limited partnership,,70,100,0,0,0,No,,1969,6,No,1969,10,No,No,No,,,Yes,6.0,4.0,25.0,,Yes,25.0,No,,,,,,No,No,Yes,Moderate obstacle,Minor obstacle,Selling wearing apparel,5131,100,,,,,DK,,DK,100,0,0,,,,,NA,NA,,,,,,,,,,,,,,,,,,,,,,Minor obstacle,Minor obstacle,,,,Yes,Major obstacle,Yes,Yes,Yes,No,Yes,Yes,No,No,No,,,0,100,0,No,,,,,,,,,Very Severe Obstacle,Yes,,2160.0,No,,,Minor obstacle,0,50,100,0,0,0,0,Yes,DK,DK,100.0,0.0,0.0,0.0,0.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,Collateral requirements were too high,,Yes,Minor obstacle,No,,,,,,,,,,No,No,No,No,Yes,No,No,Yes,No,No,Tend to disagree,5,Yes,2.0,No,No,,1.0,,No,,,Yes,30.0,No,Moderate obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Minor obstacle,6,DK,,,,,,,-9.0,5,5.0,11.0,,,64,No,,,No obstacle,Minor obstacle,Practices of competitors in the informal sector,Business licensing and permits,DK,,,DK,,,,,,,,,Less than one,Male,,,,,4,12,2012,15,44,Somewhat truthful,Are arbitrary and unreliable numbers,One visit in face-to-face interview with one person,,,1,1052.0,2.1473386126848406,1.687947388064504,7.662947070845315,19.0
557275,6,6,2,(B) without cards,Manufacturing,Ghana,English,Tema,Tema,No,No,City with population over 1 million,Garments,Garments,"Yes, screener and sample frame info match",Medium >=20 and <=99,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,1027,1000,11,12,2012,14,30,Sole proprietorship,,100,100,0,0,0,Yes,100.0,1985,2,No,1990,28,Yes,No,No,,,Yes,10.0,Less than one hour,,40.0,Yes,2.0,No,,,The establishment does not use water for production,,,No,No,Yes,Very Severe Obstacle,Very Severe Obstacle,Manufacturing wearing apparel,1810,85,Sale of cloths and fabrics,10.0,Sale of jewellery and necklaces and bracelets,5.0,5000,Five thousand,3000,90,10,0,,,,2008.0,NA,NA,0.0,100.0,No,,1.0,,10000.0,Ten thousand,Sewing,10000.0,Ten thousand,Fabrics,10000.0,Ten Thousand Cedis,Does not apply,,,100.0,0.0,0.0,0.0,Minor obstacle,No obstacle,National,DK,No,No,No obstacle,Yes,Yes,Yes,No,No,No,No,No,No,100.0,48.0,100,0,0,No,,,,,,,,,No obstacle,No,,,No,,,No obstacle,100,0,100,0,0,0,0,Yes,1200.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,Interest rates were not favorable,,No,No obstacle,No,,,,,,,,,,No,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Tend to agree,1,Yes,1.0,No,No,,100.0,,No,,,No,,,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,10,10,10.0,0.0,10.0,0.0,10.0,0.0,,No full-time seasonal or temporary workers,,,10.0,12.0,100,No,,,No obstacle,Minor obstacle,Electricity,Access to land,DK,DK,520.0,2080,DK,DK,,480.0,1200.0,DK,1200.0,100000.0,28,Male,,,,,11,12,2012,15,35,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1153.0,1.0,1.0,1.0,89.0
557276,8,8,1,(A) with cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Small >=5 and <=19,Medium >=20 and <=99,"No, a firm on its own",1,NA,NA,NA,NA,15702,10000,3,12,2012,14,0,Shareholding company with non-traded shares or shares traded privately,,100,100,0,0,0,No,,1979,12,No,1981,30,No,Yes,No,,,Yes,6.0,12.0,30.0,,No,,No,,,No,,,Yes,Yes,Yes,Major obstacle,Moderate obstacle,Manufacturing furniture,3610,80,Renovation of chairs (wood),20.0,Does not apply,,200000,Two hundred thousand,150000,60,20,20,4.0,No losses,5.0,1992.0,10,No losses,90.0,10.0,Yes,30.0,20.0,,400000.0,Four hundred thousand,Wood,250000.0,Two hundred and fifty thousand,Chemicals,80000.0,Eighty Thousand Cedis,Posery materials and foam,50000.0,Fifty Thousand Cedis,0.0,40.0,40.0,20.0,Major obstacle,Moderate obstacle,National,Too many to count,Yes,Yes,Minor obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,80.0,40.0,100,0,0,No,,,,,,,,,No obstacle,Yes,5.0,,No,,,Moderate obstacle,25,20,70,30,0,0,0,Yes,1500.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,Yes,Yes,Yes,Private commercial banks,2012.0,Refuse,Yes,Yes,No,No,No,No,200000.0,DK,DK,No,No,No need for a loan - establishment had sufficient capital,,Yes,Minor obstacle,No,,,,,,,,,,No,No,Yes,No,No,No,No,No,Yes,No,Tend to disagree,10,Yes,3.0,Refuse,Yes,Refusal,Refusal,,No,,,No,,,Major obstacle,Moderate obstacle,Major obstacle,Major obstacle,Major obstacle,Major obstacle,30,50,20.0,10.0,15.0,5.0,2.0,1.0,,9,1.0,4.0,9.0,12.0,10,Yes,40.0,20.0,Minor obstacle,Major obstacle,Corruption,Access to finance,DK,40000.0,DK,DK,DK,DK,,DK,DK,DK,DK,DK,30,Male,,,,,3,12,2012,15,42,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1070.0,1.2893214877588806,1.4076254055847965,17.755315992803958,17.0
557277,9,9,3,(A) with cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,1007,1000,9,1,2013,10,16,Sole proprietorship,,100,100,0,0,0,No,,2000,10,Yes,1997,15,No,No,Yes,30.0,No,No,,,,,No,,No,,,The establishment does not use water for production,,,Yes,Yes,Yes,Minor obstacle,No obstacle,Manufacturing furniture,3610,100,Sofa chairs,100.0,Does not apply,,10000,Ten thousand,10000,100,0,0,,,,,No losses,No losses,100.0,0.0,,,15.0,,3000.0,Three thousand,Wood,3000.0,Three thousand,Does not apply,,,,,,100.0,0.0,0.0,0.0,Very Severe Obstacle,No obstacle,National,Too many to count,No,No,Minor obstacle,No,,No,No,No,No,No,Yes,Yes,100.0,84.0,0,100,0,Yes,30.0,Yes,,,,,,,Major obstacle,Yes,,1200.0,No,,,No obstacle,30,40,60,40,0,0,0,Yes,3000.0,0.0,60.0,40.0,0.0,0.0,0.0,0.0,Yes,No,Yes,Private commercial banks,2007.0,5000.0,No,,,,,,,DK,DK,Yes,Yes,,Application was rejected,Yes,Minor obstacle,No,,,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,No,Yes,Strongly disagree,10,No,,,No,,No payments or gifts are paid,,No,,,Yes,30.0,Yes,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,5,10,2.0,3.0,1.0,1.0,0.0,2.0,,10,0.0,3.0,DK,No female production workers,30,Yes,50.0,No employees in a category were trained,Very Severe Obstacle,No obstacle,Labor regulations,Business licensing and permits,DK,3000.0,DK,1120,DK,1166.0,,DK,DK,DK,DK,DK,15,Male,,,,,9,1,2013,11,42,Truthful,Are estimates computed with some precision,Several visits,1.0,26.0,1,1140.0,1.2893214877588806,1.4076254055847965,17.755315992803958,17.0
557278,10,10,1,(B) without cards,Retail,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Chemicals,Retail,"No, does not match",Small >=5 and <=19,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,10007,10000,19,12,2012,10,0,Limited partnership,,33,100,0,0,0,No,,1996,5,No,1996,25,No,No,No,,,No,,,,,No,,No,,,,,,No,No,Yes,No obstacle,No obstacle,Selling cosmetic products,5231,100,,,,,400000,Four hundred thousand,3000000,100,0,0,,,,,No losses,No losses,,,,,,60.0,,,,,,,,,,,,,,,,No obstacle,No obstacle,,,,Yes,Moderate obstacle,No,,No,No,No,No,Yes,No,Yes,,,0,100,0,No,,,-9.0,,,0.0,100.0,0.0,No obstacle,No,,,No,,,No obstacle,100,50,100,0,0,0,0,No,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,Yes,No obstacle,No,,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Tend to agree,10,Yes,1.0,Yes,No,,2.0,,No,,,No,,,Minor obstacle,NA,No obstacle,Very Severe Obstacle,Minor obstacle,No obstacle,8,9,,,,,,,0.0,No full-time seasonal or temporary workers,,,,,100,No,,,No obstacle,Moderate obstacle,Practices of competitors in the informal sector,Access to finance,35000,,,54000,,,DK,,,,,,16,Male,,,,,19,12,2012,11,30,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1022.0,1.0,1.0,2.001613076236618,7.0
557279,11,11,3,(A) with cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,Over 250.000 to 1 million,"Publishing, printing, and Recorded media","Publishing, printing, and Recorded media","Yes, screener and sample frame info match",Small >=5 and <=19,Medium >=20 and <=99,"No, a firm on its own",1,NA,NA,NA,NA,10319,10000,11,12,2012,11,32,Sole proprietorship,,100,100,0,0,0,No,,1990,95,Yes,1990,22,No,No,No,,,Yes,20.0,4.0,,600.0,No,,No,,,Yes,3.0,3.0,Yes,No,Yes,Moderate obstacle,No obstacle,Commercial arts(paintings),2222,20,Paintings,15.0,,,40000,Forty thousand,DK,100,0,0,,,,,NA,NA,DK,DK,DK,,DK,,-9.0,,Paints,8000.0,Eight thousand,Compressor,6000.0,Six Thousand Cedis,Solvents,20.0,Twenty Cedis,-9.0,-9.0,-9.0,-9.0,Minor obstacle,No obstacle,National,10.0,No,DK,Moderate obstacle,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,15.0,20.0,0,100,0,No,,,,,,,,,Minor obstacle,No,,,No,,,Moderate obstacle,15,15,100,0,0,0,0,Yes,20000.0,10000.0,100.0,0.0,0.0,0.0,0.0,0.0,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,No obstacle,No,,,,,,,,,,Yes,No,No,No,No,No,Yes,Yes,No,No,Strongly disagree,DK,No,,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Major obstacle,25,51,24.0,1.0,13.0,11.0,0.0,1.0,,No full-time seasonal or temporary workers,,,13.0,16.0,10,Yes,100.0,No employees in a category were trained,No obstacle,No obstacle,Access to land,Business licensing and permits,DK,8000.0,DK,240,1500.0,250.0,,15000.0,16000.0,DK,DK,2000000.0,22,Male,,,,,11,12,2012,13,32,Somewhat truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1141.0,1.2893214877588806,1.4076254055847965,17.755315992803958,17.0
557280,12,12,1,(B) without cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Medium >=20 and <=99,Small >=5 and <=19,"No, a firm on its own",1,NA,NA,NA,NA,15702,10000,5,12,2012,13,10,Sole proprietorship,,100,100,0,0,0,No,,1999,3,No,DK,15,No,No,No,,,No,,,,,No,,No,,,The establishment does not use water for production,,,No,No,Yes,Minor obstacle,No obstacle,Manufacturing furniture,3610,100,Does not apply,,,,20000,Twenty thousand,50000,100,0,0,,,,,No losses,No losses,80.0,20.0,No,,DK,,20000.0,Twenty thousand,Wood,10000.0,Ten thousand,Leather and cloth,7000.0,Seven Thousand Cedis,Chemicals and nails,3000.0,Three Housand Cedis,0.0,100.0,0.0,0.0,Minor obstacle,Minor obstacle,Local,Too many to count,No,Yes,Minor obstacle,Yes,Yes,Yes,Yes,No,No,Yes,No,No,10.0,48.0,0,100,0,Yes,Application denied,No,,,,,,,Moderate obstacle,No,,,No,,,Moderate obstacle,50,30,100,0,0,0,0,No,,,,,,,,,Yes,No,No,,,,,,,,,,,,,No,No,No need for a loan - establishment had sufficient capital,,No,Minor obstacle,No,,,,,,,,,,Yes,No,No,No,DK,DK,No,No,No,No,Tend to agree,No time was spent,Yes,2.0,No,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,6,5,5.0,1.0,5.0,0.0,0.0,0.0,,No full-time seasonal or temporary workers,,,9.0,No female production workers,40,No,,,No obstacle,No obstacle,"Crime, theft and disorder",Access to finance,DK,DK,DK,DK,DK,DK,,DK,DK,DK,DK,DK,15,Male,,,,,5,12,2012,14,20,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,1034.0,2.1473386126848406,1.687947388064504,7.662947070845315,19.0
557281,13,13,1,(A) with cards,Manufacturing,Ghana,English,Accra,Accra,Yes,Yes,City with population over 1 million,Furniture,Furniture,"Yes, screener and sample frame info match",Medium >=20 and <=99,Medium >=20 and <=99,"No, a firm on its own",1,NA,NA,NA,NA,10007,10000,13,2,2013,11,0,Limited partnership,,100,100,0,0,0,No,,1993,5,Yes,1993,23,No,No,Yes,120.0,Yes,Yes,DK,,40.0,,Yes,40.0,No,,,Yes,5.0,6.0,Yes,Yes,Yes,Major obstacle,Major obstacle,Manufacturing furniture,3610,45,Does not apply,,,,6074233,Six million seventy four thousand two hundred and thirty three,4391336,100,0,0,,,,,No losses,No losses,62.0,38.0,Yes,14.0,0.0,,5276746.0,Five million two hundred and seventy six thousand seven hundred and forty six,Plywood,5276746.0,Five million two hundred and seventy six thousand seven hundred and forty six,Does not apply,,,,,,100.0,0.0,0.0,0.0,Very Severe Obstacle,Very Severe Obstacle,Local,DK,No,Yes,Very Severe Obstacle,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,100.0,60.0,0,100,0,No,,,,,,,,,Very Severe Obstacle,Yes,,13248.0,Yes,1.0,,Very Severe Obstacle,3,2,95,5,0,0,0,Yes,20292.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,Yes,Yes,Yes,Private commercial banks,2003.0,50000.0,Yes,Yes,Yes,No,Yes,No,650000000.0,1.0,-8.0,No,Yes,,Application was approved,Yes,Very Severe Obstacle,Yes,Satisfy suppliers request,No,,Yes,56.0,No,,No,,,,,,,,Yes,Yes,Yes,Yes,Tend to disagree,20,Yes,3.0,No,No,,25.0,,No,,,No,,,Very Severe Obstacle,Very Severe Obstacle,Very Severe Obstacle,Very Severe Obstacle,No obstacle,Very Severe Obstacle,44,52,4.0,40.0,4.0,DK,0.0,9.0,,24,0.0,7.0,DK,No female production workers,100,Yes,No employees in a category were trained,21.0,No obstacle,Minor obstacle,Access to finance,Access to finance,88993,DK,261520.0,7591,DK,DK,,DK,1151277.0,1096043.0,466875.0,1314000.0,23,Male,,,,,13,2,2013,12,30,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,1017.0,2.1473386126848406,1.687947388064504,7.662947070845315,19.0
