idstd,id,a0,a1,a1a,a2,a3a,a3b,a3c,a3,a4b,a5,a6a,a6b,a7,a7a,a8,a9,a10,a11,a12,a13,a14d,a14m,a14y,a14h,a14min,ngb1,b1,b1x,b3,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6a,b6b,b7,b7a,ngb7,ngb8,b8,b8x,c3,c4,c5,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c15,c16,c17,c22a,c22b,c30a,c30b,d1a1x,d1a2,d1a3,ngd1a4,d3a,d3b,d3c,d4,d6,d7,d8,ngd9,d10,d11,d12a,d12b,d13,d14,d16,d17,d30a,d30b,e1,e2b,nge2,nge4,nge5,nge6,nge7,nge8,nge9,e6,e11,e30,h1,h2,h3,h4a,h4b,h5,h6,h7,h8,f1,ngf1,ngf1a,ngf1b,f2,ngf2,ngf3,g6a,g6b,g6c,g1a,g1b,g1c,g2,g3,g4,g5a,g5b,g5bx,g30a,i1,i2a,i2b,i3,i4a,i4b,i30,k1c,k2c,k3a,k3bc,k3e,k3f,k3hd,k3hdx,k4,n5a,n5b,k5a,k5i,k5bc,k5e,k5f,k5hdj,k5hdJx,k6,k7,ngk_7a,k8,k9,k9a,k9ax,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k16,k17,k20a,k21,ngk_21a,ngK_21b,ngk_21bx,k30,h7a,j2,j3,j4,j5,ngj5,j6a,j6,j7a,j7b,ngj8,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,l1,l2,l3a,l3b,l4a,l4b,ngl_4a,l5a,l5b,l5,l6,l6a,l8,l9a,l9a2,l9b,l10,l11a,l11b,ngl13,ngl14,ngl15a,ngl15b,ngl15c,ngl15d,ngl15e,ngl16,ngl17,ngl18,ngl19,ngl19x,ngl20,ngl21,ngl22,ngl22x,ngl23,ngl24,ngl25,ngl25b,ngl26,ngl27,ngl28,ngl29a,ngl29b,ngl30,ngl31,ngl32,ngl33,ngl33x,ngl34,ngl34x,ngl35,ngl36a,ngl36,ngl37,ngl38,l30a,nl30a,nl30b,l30b,m1a,m1d,ngn8a,ngn8b,ngn8c,ngn8d,ngn8e,ngn8f,ngn8g,ngm2,nn2g,nn2h,nn2,n6a,n6b,n7a,n7b,a15a2a,a15a3,a15a2b,a15b3,a15a2c,a15c3,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,wstrict,wmedian,wweak,d2,d2x,n3,n2a,n2e,n2f,n2b,n2ra,n2rb,n2i,n2j,a4a,panel,strata
586989,156,3,1,1,2,2,1,2,2,55,1,2,2,1,1.0,2,-7,-7,1,4,1.0,9.0,10,2014,10.0,20.0,3,2,,50.0,50,0,20,30,2.0,,2000.0,25.0,1.0,2000.0,8.0,2.0,8.0,3.0,-9.0,,2.0,,,1.0,12.0,-9.0,-9.0,40.0,,1.0,45.0,2.0,,,,,,1.0,1.0,4.0,3.0,hotel and restaurant,5510,100.0,,100.0,0.0,0.0,,,,,,-7.0,,,,,,,,2.0,2.0,,,2.0,2.0,3.0,-9.0,4.0,Does not apply,5.0,,2.0,1.0,1.0,-9.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,,50.0,50.0,,,24.0,1.0,100.0,0.0,0.0,100.0,0.0,0.0,2.0,,,,,,2.0,1.0,20.0,,2.0,,,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,relative/friends,1.0,3000000.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,marketing,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,1.0,2.0,,,2.0,3.0,-9.0,1.0,1.0,1.0,,2.0,,0.0,,0.0,2.0,,,2.0,,,3.0,3.0,2.0,3.0,4.0,2.0,20.0,16.0,,,,,,,,11.0,0.0,,,,,-9.0,2.0,,,0.0,-9.0,1.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,2.0,,,,4.0,1.0,1.0,1.0,1.0,2.0,-9.0,,,,,,1.0,2.0,2.0,2.0,2.0,,,2.0,8.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,7.0,1.0,,,,,9.0,10,2014,14.0,37.0,1.0,4.0,3,2.0,37.0,8.926042,8.879088,11.703628,18000000.0,eighteen million,60000000.0,3000000.0,,,120000.0,,,,,11,0.0,54.0
586990,15105,2,1,1,8,8,2,1,2,50,2,1,1,2,,-7,-7,-7,-7,11,12.0,5.0,11,2014,10.0,26.0,3,3,,,100,0,0,0,2.0,,2008.0,6.0,1.0,2008.0,7.0,2.0,7.0,1.0,2.0,,1.0,7.0,2.0,1.0,100.0,4.0,15.0,80.0,,1.0,80.0,2.0,,,,,,2.0,2.0,3.0,2.0,petroleum service,5050,100.0,,100.0,0.0,0.0,,,,,,-7.0,,,,,,,7.0,2.0,2.0,,,3.0,2.0,2.0,2.0,7.0,lagos,5.0,,2.0,3.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,1.0,,100.0,100.0,,,98.0,1.0,100.0,0.0,0.0,100.0,0.0,0.0,2.0,,,12.0,3.0,,0.0,1.0,5.0,,2.0,,,0.0,10.0,0.0,100.0,0.0,0.0,0.0,0.0,None,2.0,,,0.0,0.0,0.0,0.0,0.0,,Cooperative,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,,,0.0,4.0,50.0,1.0,1.0,2.0,2.0,,0.0,0.0,,10.0,2.0,,,1.0,14.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,5.0,6.0,,,,,,,,2.0,0.0,,,,,100.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,1.0,1.0,2.0,2.0,2.0,4.0,100.0,,,,,100.0,2.0,,-7.0,-7.0,0.0,,,0.0,12.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,,,,,,,,7.0,1.0,,,,,5.0,11,2014,11.0,45.0,1.0,4.0,1,,,40.147404,40.37781,69.70338,35000000.0,thirty-five million,4.0,500000.0,,,120000.0,,,200000.0,,10,0.0,239.0
586991,15154,2,1,1,7,7,1,2,3,15,1,1,1,2,,-7,-7,-7,-7,84,5.0,19.0,9,2014,13.0,55.0,3,3,,,-9,-9,-9,-9,1.0,100.0,2000.0,-9.0,2.0,-9.0,12.0,2.0,2.0,1.0,-9.0,,2.0,,,1.0,18.0,14.0,25.0,-9.0,,2.0,,2.0,,,,,,2.0,2.0,3.0,2.0,bread,1541,90.0,,-9.0,-9.0,-9.0,,,,-9.0,2.0,-7.0,,,,,,,5.0,2.0,-7.0,,,4.0,2.0,3.0,4.0,8.0,ibadan,5.0,,-9.0,2.0,-9.0,,1.0,2.0,2.0,-9.0,2.0,2.0,-9.0,,20.0,20.0,,,20.0,1.0,40.0,40.0,20.0,40.0,30.0,30.0,2.0,,,-9.0,,,2.0,2.0,,,2.0,,,-7.0,-9.0,60.0,20.0,20.0,20.0,20.0,20.0,family member,2.0,,,0.0,0.0,0.0,0.0,0.0,,self,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,2.0,,,1.0,3.0,-9.0,2.0,,,2.0,,-9.0,0.0,,-9.0,2.0,,,2.0,,,3.0,-7.0,2.0,-7.0,-7.0,-9.0,6.0,-9.0,,,,,,,,-9.0,-9.0,,,,,-9.0,2.0,,,-9.0,-9.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,2.0,,,,-7.0,-9.0,1.0,-9.0,5.0,-9.0,-9.0,,,,,,2.0,,1.0,-9.0,2.0,,,1.0,-9.0,2,1.0,-7.0,-7.0,2.0,2.0,2.0,1.0,2.0,,,,,,,,3.0,1.0,,,,,19.0,9,2014,15.0,21.0,2.0,1.0,1,,,10.247095,10.743825,14.453217,400000.0,four hundred thousand,200000.0,70000.0,,,30000.0,,,40.0,,2,0.0,193.0
586992,15209,1,1,1,6,6,2,2,2,36,1,1,1,2,,-7,-7,-7,-7,6,7.0,20.0,12,2014,10.0,57.0,3,3,,,100,0,0,0,2.0,,2009.0,6.0,2.0,2011.0,6.0,2.0,4.0,1.0,2.0,,2.0,,,1.0,100.0,2.0,30.0,70.0,,1.0,70.0,2.0,,,-7.0,,,2.0,2.0,3.0,2.0,manufacturing of chairs,3610,100.0,2.0,100.0,0.0,0.0,,,,,,0.0,0.0,100.0,0.0,,,5.0,,1.0,3.0,2.0,-4.0,3.0,2.0,3.0,3.0,6.0,kaduna,5.0,2.0,-9.0,2.0,1.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,100.0,,,100.0,84.0,,1.0,0.0,100.0,0.0,0.0,100.0,0.0,2.0,,,,,,1.0,1.0,3.0,,2.0,,,0.0,3.0,0.0,100.0,0.0,0.0,0.0,0.0,0,2.0,,,,,,,,,,1.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,2.0,,,1.0,3.0,20.0,1.0,1.0,2.0,2.0,2.0,,0.0,,5.0,2.0,,,1.0,30.0,2.0,3.0,3.0,2.0,3.0,3.0,2.0,5.0,6.0,5.0,0.0,5.0,0.0,4.0,0.0,0.0,,0.0,,,6.0,-7.0,3.0,2.0,,,0.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,4.0,4.0,1.0,2.0,1.0,2.0,,,,,,,1.0,1.0,3.0,-7.0,2.0,,,2.0,8.0,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,30000.0,50000.0,6.0,1.0,,,,,,12,2014,0.0,0.0,13638412800.0,44000.798,1,,,15.850579,15.790439,23.360249,350000.0,three hundred and fifty thousand,100000.0,100000.0,100000.0,90000.0,45000.0,30000.0,50000.0,,10000.0,3,0.0,153.0
586993,15220,1,1,1,6,6,2,2,2,19,1,1,1,2,,-7,-7,-7,-7,13,18.0,25.0,7,2014,11.0,4.0,3,3,,,100,0,0,0,2.0,,2000.0,6.0,2.0,2005.0,14.0,2.0,4.0,1.0,2.0,,2.0,,,2.0,,,,,,2.0,,2.0,,,2.0,,,2.0,2.0,3.0,1.0,Shoe making and repairs,1920,90.0,2.0,70.0,25.0,5.0,14.0,0.0,0.0,2005.0,2.0,0.0,0.0,70.0,30.0,2.0,,30.0,,2.0,3.0,1.0,-4.0,4.0,2.0,3.0,3.0,10.0,Kano,5.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,-9.0,,,85.0,56.0,,2.0,100.0,0.0,0.0,100.0,0.0,0.0,2.0,,,,,,0.0,2.0,,,2.0,,,0.0,45.0,20.0,35.0,35.0,25.0,5.0,0.0,None,2.0,,,0.0,0.0,0.0,0.0,0.0,,Savings,1.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,3.0,,2.0,2.0,,,3.0,3.0,0.0,1.0,5.0,2.0,2.0,2.0,,-8.0,,-8.0,2.0,,,2.0,,,3.0,2.0,2.0,3.0,3.0,0.0,6.0,6.0,6.0,0.0,6.0,0.0,6.0,0.0,0.0,,0.0,,,85.0,85.0,85.0,1.0,100.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,2.0,,,,1.0,1.0,1.0,1.0,5.0,1.0,,6.0,poor economy,,,,2.0,,-7.0,1.0,1.0,,,3.0,8.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,,,,,,15000000.0,-9.0,14.0,1.0,,,,,25.0,7,2014,11.0,40.0,1.0,4.0,1,,,4.447879,4.4310026,6.9228077,2000000.0,two million,2.0,350000.0,500000.0,25000.0,12000.0,25000.0,250000.0,,0.0,7,0.0,156.0
586994,15249,2,1,1,7,7,1,1,5,62,2,0,1,2,,-7,-7,-7,-7,48,5.0,7.0,8,2014,11.0,28.0,1,3,,,100,0,0,0,2.0,,2001.0,-9.0,1.0,2001.0,5.0,2.0,7.0,-9.0,1.0,corporate affair commission,2.0,,,1.0,-9.0,,,-9.0,,1.0,100.0,2.0,,,,,,1.0,1.0,4.0,4.0,AIRLINE,6210,100.0,,70.0,0.0,30.0,,,,-9.0,-9.0,2.0,3.0,,,,,,2.0,4.0,4.0,,,3.0,2.0,2.0,1.0,-9.0,Does not apply,5.0,,2.0,-7.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,,100.0,100.0,,,64.0,1.0,0.0,100.0,0.0,0.0,100.0,0.0,2.0,,,-9.0,,,4.0,1.0,8.0,,2.0,,,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,None,2.0,,,0.0,0.0,0.0,0.0,0.0,,Relatives,1.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,2.0,,,4.0,3.0,10.0,1.0,2.0,2.0,-8.0,,-8.0,10.0,,5.0,2.0,,,2.0,,,3.0,3.0,4.0,3.0,3.0,3.0,5.0,5.0,,,,,,,,2.0,5.0,2.0,-9.0,,,-9.0,2.0,,,5.0,0.0,-9.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,1.0,1.0,2.0,2.0,5.0,4.0,25.0,1.0,,,,-9.0,1.0,-7.0,3.0,1.0,2.0,,,3.0,1.0,3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,,,,,,,,4.0,1.0,,,,,7.0,8,2014,12.0,26.0,1.0,1.0,1,,,37.248867,38.713924,57.22207,12000000.0,twelve million,-9.0,4000000.0,,,150000.0,,,-9.0,,13,0.0,204.0
586995,15250,2,1,1,7,7,2,1,4,52,1,0,0,2,,-7,-7,-7,-7,11,1.0,29.0,10,2014,10.0,47.0,2,4,,85.0,100,0,0,0,2.0,,2012.0,1.0,2.0,-9.0,2.0,2.0,4.0,1.0,2.0,,2.0,,,2.0,,,,,,2.0,,2.0,,,,,,2.0,2.0,0.0,0.0,Retailling,5211,90.0,,100.0,0.0,0.0,,,,,,0.0,0.0,,,,,,5.0,1.0,1.0,,,3.0,2.0,5.0,5.0,2.0,Kano,5.0,,2.0,1.0,2.0,,2.0,2.0,1.0,2.0,1.0,2.0,2.0,,20.0,20.0,,,60.0,1.0,0.0,100.0,0.0,0.0,100.0,0.0,2.0,,,100.0,3.0,,1.0,1.0,15.0,,2.0,,,1.0,30.0,20.0,35.0,0.0,0.0,40.0,25.0,Relatives,2.0,,,0.0,0.0,0.0,0.0,0.0,,Cooperative,2.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,2.0,,2.0,2.0,,,1.0,2.0,2.0,1.0,5.0,2.0,2.0,,15.0,,5.0,5.0,2.0,,,2.0,,,1.0,1.0,1.0,2.0,1.0,0.0,12.0,-7.0,,,,,,,,0.0,0.0,,,,,0.0,2.0,,,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,-7.0,-7.0,2.0,2.0,5.0,4.0,10.0,3.0,,,,15.0,2.0,,-7.0,-7.0,-7.0,,,-7.0,14.0,1,2.0,1.0,2.0,2.0,2.0,2.0,-7.0,1.0,,,,,,,,2.0,1.0,,,,,29.0,10,2014,12.0,20.0,1.0,2.0,1,,,2.9590595,3.0858252,3.9696045,20000000.0,twenty million,,20.0,,,5.0,,,35.0,,12,0.0,218.0
586996,15299,3,1,1,7,7,2,2,4,63,2,1,1,2,,-7,-7,-7,-7,5,1.0,28.0,11,2014,13.0,18.0,3,3,,,100,0,0,0,2.0,,1999.0,5.0,2.0,-9.0,15.0,2.0,7.0,1.0,2.0,,2.0,,,1.0,-9.0,,,0.0,,1.0,60.0,2.0,,,,,,1.0,1.0,3.0,3.0,travelling agency,6304,100.0,,100.0,0.0,0.0,,,,,,0.0,0.0,,,,,,,3.0,3.0,,,3.0,2.0,3.0,3.0,-9.0,Does not apply,5.0,,1.0,3.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,-9.0,-9.0,,,55.0,2.0,0.0,100.0,0.0,0.0,100.0,-7.0,2.0,,,,,,4.0,2.0,,,2.0,,,3.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,nill,2.0,,,,,,,,,,1.0,,2.0,2.0,,,,,,,,,,,,,,,-9.0,2.0,1.0,,2.0,2.0,,,3.0,3.0,-9.0,1.0,-9.0,,-9.0,,30.0,-9.0,,-9.0,2.0,,,2.0,,,1.0,2.0,1.0,3.0,3.0,1.0,6.0,5.0,,,,,,,,2.0,1.0,-9.0,-9.0,,,6.0,2.0,,,6.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,,,,2.0,,,,3.0,1.0,1.0,1.0,1.0,2.0,-9.0,,,,,,2.0,,3.0,1.0,3.0,,,3.0,2.0,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,,,7.0,1.0,,,,,28.0,11,2014,16.0,53.0,1.0,1.0,1,,,2.2121367,2.2982695,3.2736578,6250000.0,"six million, two hundred fifty thousand",-9.0,-9.0,,,-9.0,,,,,13,0.0,228.0
586997,15373,1,1,1,9,9,2,2,2,28,1,2,2,2,,-7,-7,-7,-7,1,1.0,23.0,7,2014,14.0,5.0,3,3,,,0,0,0,100,2.0,,1992.0,20.0,2.0,1994.0,25.0,2.0,7.0,1.0,2.0,,2.0,,,1.0,5.0,8.0,8.0,3.0,,1.0,45.0,2.0,,,2.0,,,2.0,2.0,3.0,0.0,we are into fabricating metal,2891,100.0,2.0,100.0,0.0,0.0,,,,,,0.0,0.0,100.0,0.0,,,10.0,,1.0,2.0,2.0,-4.0,3.0,2.0,5.0,5.0,12.0,oyo,5.0,2.0,1.0,1.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,-9.0,,,-9.0,54.0,,1.0,100.0,0.0,0.0,100.0,0.0,0.0,2.0,,,,,,0.0,2.0,,,2.0,,,0.0,40.0,20.0,100.0,0.0,0.0,0.0,0.0,None,2.0,,,0.0,0.0,0.0,0.0,0.0,,Friends and associates,1.0,,,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,2.0,,,0.0,4.0,25.0,1.0,2.0,2.0,2.0,2.0,,10.0,,-8.0,2.0,,,2.0,,,0.0,0.0,0.0,0.0,1.0,0.0,72.0,65.0,65.0,7.0,50.0,15.0,3.0,0.0,2.0,,10.0,3.0,-9.0,-9.0,-7.0,-9.0,2.0,,,0.0,0.0,-9.0,1.0,2.0,1.0,1.0,2.0,,2.0,,,,2.0,,,,2.0,,,,-7.0,-7.0,1.0,1.0,2.0,2.0,,,,,,,1.0,-7.0,2.0,-7.0,0.0,,,0.0,8.0,1,1.0,1.0,2.0,-7.0,2.0,1.0,2.0,4.0,,,,,,-9.0,-9.0,8.0,1.0,,,,,23.0,7,2014,17.0,29.0,2.0,4.0,1,,,3.9510634,3.9989908,4.330727,12000000.0,twelve million,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,-9.0,,-9.0,1,0.0,290.0
586998,15378,3,1,1,7,7,1,1,3,52,2,0,0,2,,-7,-7,-7,-7,84,5.0,11.0,10,2014,9.0,0.0,2,3,,,30,20,20,30,2.0,,2007.0,2000.0,1.0,1987.0,14.0,2.0,5.0,1.0,2.0,,2.0,,,2.0,,,,,,2.0,,2.0,,,,,,1.0,2.0,3.0,1.0,Refurbishing of phones and resell,5260,30.0,,50.0,20.0,30.0,,,,2012.0,-9.0,0.0,0.0,,,,,,,3.0,3.0,,,1.0,2.0,2.0,3.0,5.0,Does not apply,3.0,,1.0,1.0,2.0,,2.0,2.0,-9.0,2.0,2.0,-9.0,2.0,,20.0,20.0,,,20.0,2.0,30.0,20.0,50.0,20.0,20.0,60.0,2.0,,,,,,2.0,2.0,,,2.0,,,2.0,-9.0,-9.0,10.0,20.0,20.0,20.0,30.0,family member,2.0,,,0.0,0.0,0.0,0.0,0.0,,self,1.0,2.0,2.0,2.0,,,,,,,,,,,,,,,2.0,2.0,1.0,,2.0,-9.0,,,1.0,3.0,-9.0,-9.0,,,2.0,,0.0,-9.0,,-9.0,2.0,,,2.0,,,2.0,2.0,3.0,3.0,2.0,1.0,12.0,-7.0,,,,,,,,-9.0,0.0,,,,,0.0,2.0,,,-9.0,-9.0,1.0,1.0,1.0,-9.0,1.0,2.0,,2.0,,,,2.0,,,,2.0,,,,-7.0,3.0,2.0,2.0,2.0,-9.0,5.0,1.0,,,,-9.0,2.0,,2.0,-9.0,1.0,,,2.0,7.0,2,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,,,,,,,,14.0,1.0,,,,,11.0,10,2014,17.0,59.0,2.0,2.0,1,,,16.342161,17.14746,23.698254,400000.0,four hundred thousand,,4.0,,,3.0,,,,,10,0.0,201.0
