idstd,id,a4a,a6a,a2,a1c,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1_NG,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c43,c44,c12,c13,c14,c33,c45,c152,c162,c172,c22b,c36,c37,c39,c42,d1a1a,d1a3,d2,d2x,n3,n3x,f1,d3a,d3b,d3c,d31x,d42,d43a,d43b,d4a,d4b,d342,d352,d8,d12a,d12b,d13,d38x,d44,d45a,d45b,d14a,d14b,d412,o1,o2,o3a2,o3b2,j31,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e312,e32,e33,e6,e11,h1,h2,h32x,h5,h62x,h8,h9,d1a6a,d1a6b,d1a6c,d1a6cx,g5a,g5b,g5bx,g2,g3,g4,g34,ge3,ge3a,ge7,ge8d,k3a,k3i,k3j,k3bc,k3e,k3f,k3dgh,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5j,k5j1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5dgh,k5dgh1,k6,k82b,k82a,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15d,k162a,k162b,k17,k20a1,k32,k21,k33,k342,k342x,k35,k36,k38,k392,k392x,k40,j2,j3,j4,j5,j32,j33,j35,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,k30,g30a,j30c,j30f,h30,i30,d30b,c30a,l30b,l30a,j30e,e30,j30b,j30a,d30a,k30_finance_pos,g30_land_pos,j30_permit_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,d30_trade_pos,c30_electricity_pos,l30_workforce_pos,l30_labor_pos,j30_instability_pos,e30_informal_pos,j30_taxadmin_pos,j30_taxrate_pos,d30_transport_pos,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,l1,l2,l9b,l9b1,l3a,l3b,l5a,l5b,l5,l4a1,l4a2,l4b,l10,l11a1,l11a,l11b1,l11b,l12a1,l12a,l34,l35,l36,l1a,l6,l6a,l8,l37,l38a,l38b,l40,l41,l30d,l30c,c32,c32b,c34,c34b,c34bx,c34c,n2a,n2a2,n2e,n2i,n7a,n11,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a1d,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata
1593714,2,Retail,Small,South West,Establishment,Retail services,South West,25,Yes,Panel,English,7,3,2025,10,9,2024,12,31,93,Interviewer35,30.0,No,,,Yes,LLC (Limited Liability Company) - single owner,Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2016,10,2017,12,No,No,,No,,,,Yes,2.0,8.0,0.0,No Losses,,Yes,70.0,No,,No,,,,It is suitable for all operational needs,No,,,No,No,,The establishment does not have an internet connection,With no difficulty at all,Retail trade of ,90,150000000.0,One Hundred And Fifty Million,80000000.0,Eighty Million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to disagree,Strongly agree,We fixed it and took action to make sure it did not happen again,Yes,3-9 production performance indicators,No,,,,Yes,Their own performance,Promotions were based solely on performance and ability,Rarely or never,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Tend to disagree,No,,No,No,70,0,0,10,0,20,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,Don't know (spontaneous),Yes,No,,Application was approved in full,30.0,Yes,50,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,2,Yes,2.0,No,No,,30,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,No obstacle,Major obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,13,14,10,8,11,1,6,12,4,15,3,5,2,7,9,Political instability,13,14,10,8,11,1,6,12,4,15,3,5,2,7,9,25,15,100.0,,,,,,15.0,10,15,0,No,,,,,,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,No,Minor obstacle,Moderate obstacle,1000,50000.0,Don't know (spontaneous),,,Don't know (spontaneous),17000000.0,850000.0,,96000000.0,,2,7,3,2025,13,6,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4730,South West,Small (5-19),Retail,Panel,404.2701,415.52264,434.98416,179
1593715,7,Retail,Small,North West,Establishment,Other services,North West,30,No,Panel,Hausa,11,3,2025,15,34,2024,12,31,93,Interviewer34,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2005,13,2023,20,No,No,,No,,,,Yes,1.0,10.0,0.0,No Losses,,No,,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,Don't know (spontaneous),Wholesale trade of ,100,150000000.0,one hundred and fifty million,120000000.0,one hundred and twenty million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly disagree,Does not apply (spontaneous),Yes,1-2 production performance indicators,No,,,,No,,Does not apply (spontaneous),Does not apply (spontaneous),Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly disagree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,1,Yes,4.0,No,No,,4,No,No,No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Does not apply,No obstacle,Minor obstacle,Does not apply,No obstacle,No obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,13,3,12,14,11,10,15,4,6,7,9,1,5,2,8,Political instability,13,3,12,14,11,10,15,4,6,7,9,1,5,2,8,30,20,,30.0,,,,,0.0,3,0,27,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,Yes,Yes,No obstacle,No obstacle,Don't know (spontaneous),11000.0,0,,,0,12000000.0,0.0,,,,2,11,3,2025,17,2,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,7,Face to face only,No,No,City with population over 1 million,4630,North West,Small (5-19),Retail,Panel,417.2092,452.94205,466.8293,79
1593716,12,Other Manufacturing,Small,South East,Establishment,Manufacturing,South East,7,No,Panel,English,28,2,2025,10,30,2024,12,31,93,Interviewer22,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2008,5,2009,17,No,No,,No,,,,No,,,,,,Yes,100.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With little difficulty,Manufacturing of ,100,15000000.0,Fifteen million .,11000000.0,eleven million .,100.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Strongly agree,,,,,,,,,,,,National ,Too many to count,There is competition among many firms,Increased,Prices are regulated,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,60,20,0,0,0,20,0,Yes,350000.0,0.0,70.0,,30.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,Collateral requirements were too high,,,Yes,60,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,40," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,3,Yes,2.0,Yes,No,,48,"Yes, partially","Yes, partially",No,,The establishment did not need to request a refund,No,,No,,,15000.0,No,,,No,,,Major obstacle,Major obstacle,Moderate obstacle,Major obstacle,No obstacle,Minor obstacle,Minor obstacle,Major obstacle,Major obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,9,8,11,7,1,2,14,10,12,5,13,4,6,15,3,Electricity,9,8,11,7,1,2,14,10,12,5,13,4,6,15,3,7,5,100.0,,4.0,3.0,0.0,0.0,,3,1,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,No elecricity from a utiilty (spontaneous),,0,,,0,2520000.0,0.0,4000000.0,,6000000.0,15,5,3,2025,14,48,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,3,Face to face only,No,No,City with population over 1 million,1512,South East,Small (5-19),Other Manufacturing,Panel,188.7371,214.1576,214.34395,114
1593717,18,Other Services,Small,South West,Establishment,Other services,South West,10,No,Panel,English,27,2,2025,11,0,2024,12,31,93,Interviewer35,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2012,3,2013,15,No,No,,No,,,,Yes,1.0,8.0,0.0,,150000.0,Yes,50.0,No,,No,,,,It is suitable for all operational needs,No,,,Yes,No,,No,With some difficulty,Other services ,40,50000000.0,Fifty Million,20000000.0,Twenty Million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Tend to agree,No,,No,No,60,40,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,100,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,One hour or less,"Yes, fully","Yes, fully",No,,The application for a refund is too complicated,No,,No,,No payments or gifts are paid,,No,,,No,,,Moderate obstacle,Moderate obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Major obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Very severe obstacle,Minor obstacle,Minor obstacle,Minor obstacle,3,7,14,6,11,4,15,1,13,12,2,9,10,5,8,Practices of competitors in the informal sector,3,7,14,6,11,4,15,1,13,12,2,9,10,5,8,10,6,100.0,,,,,,2.0,5,3,2,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Moderate obstacle,Major obstacle,750,35000.0,20000,Liters,,20000,10000000.0,500000.0,,,,5,27,2,2025,13,44,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,6110,South West,Small (5-19),Other Services,Panel,167.04034,172.74179,201.54996,181
1593718,19,Retail,Medium,South West,Establishment,Retail services,South West,8,No,Panel,English,28,3,2025,14,56,2024,12,31,93,Interviewer30,,,,,,LTD (Private Limited Company),Shareholding company with non-traded shares or shares traded privately,,No,Fully domestically owned (private),0,0,0,No,,1969,15,1969,15,No,No,,No,,,,Yes,4.0,5.0,0.0,No Losses,,Yes,40.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,No,With no difficulty at all,Retail trade of ,80,300000000.0,Three hundred million,350000000.0,Three hundred and fifty million,,100,0,0,,,,,,,,,,0,100,Yes,China,Yes,7.0,0.0,14.0,0.0,Don't know (spontaneous),No,,Tend to agree,Tend to agree,Tend to agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,,,,,200.0,Square Meters,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,No,80,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,100," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,2.0,No,No,,Don't know (spontaneous),"Yes, fully","Yes, fully",No refund systems exists,,,No,,No,,Don't know (spontaneous),,No,,,No,,,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,No obstacle,Minor obstacle,Minor obstacle,Moderate obstacle,Minor obstacle,Major obstacle,Minor obstacle,11,1,7,10,14,3,12,13,9,6,2,15,5,4,8,Tax rates,11,1,7,10,14,3,12,13,9,6,2,15,5,4,8,8,10,100.0,,,,,,2.0,7,1,0,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,Don't know (spontaneous),45000.0,0,,,0,93600000.0,Don't know (spontaneous),,120000000.0,,3,28,3,2025,15,47,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4759,South West,Medium (20-99),Retail,Panel,173.37445,179.61151,205.24657,192
1593719,20,Other Services,Small,South West,Establishment,Other services,South West,8,No,Panel,English,15,4,2025,9,56,2024,12,31,93,Interviewer8,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,No,Fully domestically owned (private),0,0,0,No,,2008,7,2009,5,No,No,,No,,,,Yes,Don't know (spontaneous),,,No Losses,,No,,No,,No,,,,It is suitable for only some operational needs,Yes,8.0,Don't know (spontaneous),No,Yes,Still in process,No,With little difficulty,Wholesale trade of ,100,5000000.0,five million,5000000.0,five million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,Yes,No,Tend to disagree,Tend to agree,Tend to agree,,,,,,,,,,,,National ,Too many to count,The market is dominated by a few firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Tend to disagree,No,,Yes,Yes,40,60,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,Yes,No,,Application was rejected,21.0,No,35,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Costless (Zero),50," Bank transfers, including through online and mobile banking",,Costless (zero),No time spent,No,,,,,35,No,No,No refund systems exists,,,No,,No,,3.0,,No,,,No,,,Major obstacle,Major obstacle,Moderate obstacle,Very severe obstacle,Major obstacle,Very severe obstacle,Very severe obstacle,Moderate obstacle,Major obstacle,Very severe obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Major obstacle,Major obstacle,13,12,8,6,9,11,4,1,10,5,14,15,3,7,2,"Crime, theft and disorder",13,12,8,6,9,11,4,1,10,5,14,15,3,7,2,8,9,65.0,,,,,,4.0,3,2,3,No,,,,,,,No,,,No part-time workers,3,0.0,One month or less,Yes,No dispute has been resolved,,No,,Moderate obstacle,Minor obstacle,100,15000.0,Don't know (spontaneous),,,Don't know (spontaneous),2000000.0,500000.0,,,,3,15,4,2025,11,41,Somewhat truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,No,City with population over 1 million,4669,South West,Small (5-19),Other Services,Panel,522.97235,540.8224,416.19284,181
1593720,22,Garments,Medium,South West,Establishment,Manufacturing,South West,30,No,Panel,English,28,4,2025,13,37,2024,12,31,93,Interviewer16,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,Yes,100.0,2005,5,2005,5,Yes,No,,No,,,,Yes,13.0,2.0,0.0,,1500000.0,Yes,15.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,Unable to change provider,Manufacturing of ,60,50000000.0,fifty million,35000000.0,Thirty five million,80.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Tend to disagree,Tend to agree,We fixed it and took action to make sure it did not happen again,No,,Yes,Main focus was on long-term (one year or more) production targets,Possible to achieve with more than normal effort,Most managers and some production workers,No,,Promotions were based solely on performance and ability,Rarely or never,National ,Too many to count,There is competition among many firms,Increased,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,Yes,800000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Don't know (spontaneous),60," Bank transfers, including through online and mobile banking",,Don't know (spontaneous),No time spent,No,,,,,Don't know (spontaneous),No,No,No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Very severe obstacle,Minor obstacle,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Very severe obstacle,Minor obstacle,No obstacle,No obstacle,Moderate obstacle,Minor obstacle,Minor obstacle,Major obstacle,10,13,12,4,8,3,14,15,11,9,2,5,7,6,1,Electricity,10,13,12,4,8,3,14,15,11,9,2,5,7,6,1,30,25,100.0,,21.0,9.0,15.0,6.0,,18,3,0,Yes,21.0,,9.0,,16.0,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Minor obstacle,Don't know (spontaneous),80000.0,0,,,0,18000000.0,Don't know (spontaneous),20000000.0,,45000000.0,Refusal (spontaneous),29,4,2025,10,4,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,1410,South West,Medium (20-99),Garments,Panel,7.3659225,7.3489327,8.631897,185
1593721,28,Retail,Small,North Central,Establishment,Retail services,North Central,8,No,Panel,English,19,3,2025,12,6,2024,12,31,93,Interviewer5,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2010,3,2010,20,Yes,No,,No,,,,Yes,6.0,48.0,One minute or less,,1800000.0,Yes,30.0,Yes,30.0,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,Yes,No,,The establishment does not have an internet connection,With no difficulty at all,Retail trade of ,80,273750000.0,two hundred and seventy three million seven hundred and fifty thousand,250000000.0,two hundred and fifty million,,100,0,0,,,,,,,,,,80,20,No,,,,,,,,Yes,Yes,Tend to disagree,Tend to agree,Strongly disagree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Increased,No,No,No,No,,,No,,No,,,,,,200.0,Square Meters,,No,,,Tend to agree,No,,No,Yes,100,0,0,0,0,0,0,No,,,,,,,,,,,,,,,,,Yes,No,No,,,,,,,,,,,No,No,No,Interest rates were not favorable,,,Yes,40,Debit cards,,Payment received in less than a day,Above 0 but below 0.5%,55," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,Yes,1.0,No,No,,48,No,No,No,,The establishment did not need to request a refund,No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,Minor obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Major obstacle,Moderate obstacle,No obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,Minor obstacle,4,2,1,5,11,3,6,7,13,12,14,8,9,15,10,Electricity,4,2,1,5,11,3,6,7,13,12,14,8,9,15,10,8,8,100.0,,,,,,6.0,2,6,0,Yes,,,,,6.0,,Yes,Dismissals were immediate,No severance was paid,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,Minor obstacle,No obstacle,30,10000.0,0,,,0,19000000.0,500000.0,,150000000.0,,20,19,3,2025,13,39,Truthful,Are taken directly from establishment records,One visit in face-to-face interview with one person,,,6,Face to face only,Yes,No,City with population over 1 million,4772,North Central,Small (5-19),Retail,Panel,706.1985,718.24884,768.42633,11
1593722,34,Garments,Small,South West,Establishment,Retail services,South West,10,No,Panel,English,4,4,2025,12,22,2024,12,31,93,Interviewer16,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,1991,5,1995,5,No,No,,No,,,,Yes,11.0,2.0,0.0,,500000.0,Yes,50.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,Don't know (spontaneous),Retail trade of ,70,30000000.0,thirty million,18000000.0,Eighteen million,,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Tend to disagree,Tend to disagree,Strongly disagree,,,,,,,,,,,,National ,Too many to count,The market is dominated by a few firms,Increased,No,No,Yes,No,,,No,,No,,,,,,Don't know (spontaneous),,,No,,,Strongly agree,No,,No,No,100,0,0,0,0,0,0,Yes,600000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,No,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Don't know (spontaneous),70," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,No time spent,No,,,,,7,No,No,No refund systems exists,,,No,,No,,No payments or gifts are paid,,No,,,No,,,Major obstacle,Moderate obstacle,No obstacle,Minor obstacle,No obstacle,No obstacle,No obstacle,Very severe obstacle,No obstacle,Minor obstacle,Minor obstacle,No obstacle,Minor obstacle,Minor obstacle,Major obstacle,7,9,13,12,11,14,1,15,2,6,3,5,10,8,4,Electricity,7,9,13,12,11,14,1,15,2,6,3,5,10,8,4,10,7,100.0,,,,,,6.0,0,0,10,Yes,,,,,No women employees trained,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,Moderate obstacle,Don't know (spontaneous),89000.0,0,,,0,6000000.0,Don't know (spontaneous),,13000000.0,,Don't know (spontaneous),4,4,2025,15,21,Truthful,Are estimates computed with some precision,One visit in face-to-face interview with one person,,,1,Face to face only,No,Yes,City with population over 1 million,4771,South West,Small (5-19),Garments,Panel,136.99225,135.36105,139.4699,172
1593723,42,Food,Small,North West,Establishment,Manufacturing,North West,13,No,Panel,Hausa,17,5,2025,12,3,2024,12,31,93,Interviewer28,,,,,,Sole proprietorship (Business Name Registration),Sole proprietorship,,Yes,Fully domestically owned (private),0,0,0,No,,2018,4,2018,10,No,No,,No,,,,No,,,,,,Yes,60.0,No,,No,,,,ESTABLISHMENT DOES NOT HAVE PIPED WATER FROM A UTILITY PROVIDER,No,,,No,No,,The establishment does not have an internet connection,Don't know (spontaneous),Manufacturing of ,100,68000000.0,sixty eight million,63000000.0,sixty three million,90.0,100,0,0,,,,,,,,,,100,0,,,,,,,,,No,,Strongly agree,Strongly agree,Strongly agree,,,,,,,,,,,,Local or in some parts of the country,Too many to count,There is competition among many firms,Stayed the same,No,No,Yes,No,,,No,,No,,,,,,,,,No,,,Strongly agree,No,,Yes,Yes,100,0,0,0,0,0,0,Yes,7000000.0,0.0,0.0,,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,Yes,No,No,,,,,,,,,,,No,No,No,No need for a loan - establishment had sufficient capital,,,Yes,70,"Bank transfers, including through online and mobile banking",,Payment received in less than a day,Above 0 but below 0.5%,80," Bank transfers, including through online and mobile banking",,Above 0 but below 0.5%,1,Yes,3.0,No,No,,5,No,No,No,,Don't know (spontaneous),No,,No,,No payments or gifts are paid,,No,,,No,,,Minor obstacle,No obstacle,No obstacle,Minor obstacle,No obstacle,Minor obstacle,No obstacle,Major obstacle,No obstacle,No obstacle,No obstacle,Minor obstacle,Moderate obstacle,Moderate obstacle,Major obstacle,12,1,15,5,11,14,2,13,6,3,7,4,10,8,9,Electricity,12,1,15,5,11,14,2,13,6,3,7,4,10,8,9,13,10,,13.0,12.0,1.0,0.0,0.0,,1,0,11,No,,,,,,,No,,,No part-time workers,No full-time seasonal or temporary workers,,,No,,,No,,No obstacle,No obstacle,180,9500.0,0,,,0,13000000.0,0.0,31000000.0,,19000000.0,2,17,5,2025,13,24,Truthful,Are in some case taken from books and in some case estimates,One visit in face-to-face interview with one person,,,7,Face to face only,No,No,City with population over 1 million,1071,North West,Small (5-19),Food,Panel,56.063858,58.486954,62.975872,70
