idstd,id,a4a,a6a,a2,a1c,competition_select,tax_select,vat_applicable,a4b_v4,a0,a3a,a6c,a7,panel,a1a,a14d,a14m,a14y,a14h,a14min,a20y,a20m,a20d,a1,a12,a7a,a7b,a11,a7c,a9,b1,b1x,b3a,b2a,b2b,b2c,b2d,b4,b4a,b5,b6,b6b,b7,b7a,b8,b8x,c3,c4,c5,c31,c32,c6,c7,c8a,c8b,c9a,c9b,c10,c11,c12,c13,c14,c33,c34,c34b,c34bx,c152,c162,c172,c35a,c35b,c22b,c36,c37,c38,c39,c40a,c40b,c41a,c41b,c42,c30a,d1a1a,d1a6a,d1a6b,d1a6c,d1a6cx,d1a3,d2,d2x,d2a1,d2a1x,n3,n3x,d3a,d3b,d3c,d31x,d32,d4a,d4b,d33a,d33b,d34,d35,d36a,d36b,d37,d8,d12a,d12b,d13,d38x,d39,d14a,d14b,d40a,d40b,d41,d30a,d30b,o1,o2,o3a,o3b,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,r11,e1,e2b,e31a,e31b,e6,e11,e32,e33,e34,e35,e30,h1,h2,h3x,h4x,h5,h6x,h7x,h8,h9,f1,g2,g3,g4,g31,g32,g33,g5a,g5b,g5bx,g30a,ge3,ge3a,ge7,ge8d,k3a,k3bc,k3e,k3f,k3hd,k4,n5a,n5b,k5a,k5a1,k5i,k5i1,k5bc,k5bc1,k5e,k5e1,k5f,k5f1,k5hdj,k5hdj1,k4b,n5c,n5d,k6,k7,k82,k9,k10,k11,k13,k14a,k14b,k14c,k14d,k14e,k15a,k15b,k15c,k15d,k162,k17,k20a1,k31,k32,k21,k33,k34,k35,k36,k37,k38,k39,k40,k30,j31,j2,j3,j4,j5,j32,j33,j34,j35a,j35b,j36,j37,j38,j39,j40,j6a,j41,j42,j43,j7a,j7b,j10,j11,j12,j13,j14,j15,j30a,j30b,j30c,j30e,j30f,h30,i30,j30_taxrate_pos,j30_taxadmin_pos,j30_permit_pos,j30_instability_pos,j30_corruption_pos,j30_courts_pos,j30_crime_pos,l1,l2,l3a,l3b,l4a1,l4a2,l4b,l5a,l5b,l5,l9b,l9b1,l10,l11a,l11a1,l11b,l11b1,l12a,l12a1,l31,l32,l33,l34,l35,l36,l1a,l6,l6a,l8,l37,l38,l39,l40,l41,l30a,l30b,m1a,m1a_finance_pos,m1a_land_pos,m1a_permit_pos,m1a_corruption_pos,m1a_courts_pos,m1a_crime_pos,m1a_trade_pos,m1a_electricity_pos,m1a_workforce_pos,m1a_labor_pos,m1a_instability_pos,m1a_informal_pos,m1a_taxadmin_pos,m1a_taxrate_pos,m1a_transport_pos,n2a,n2a2,n2b,n2k,n2l,n2e,n2i,n2a1,n2e1,n7a,n11,n12,a15d,a15m,a15y,a15h,a15min,a16,a17,a18,a19h,a19m,a13,a3b,a3c,a3,d1a2_v4,stratificationregioncode,stratificationsizecode,stratificationsectorcode,stratificationpanelcode,wstrict,wmedian,wweak,strata,b1_RWA
1188547,29,2,1,1,1,0,1,1,47,2,1,8,1,0,1,9,2,2024,12,25,2023,12,31,33,Int22RWA,2.0,1.0,2.0,1.0,,4,,2,100,0,0,0,1,20.0,2017,5,2017,20,2,2,,2,,,,200,2,,,,,,2,,2,,,,20,1.0,,2,,,,,1,2,,,2,,,,,3,0,2,,,,,100,840000000.0,eight hundred and forty million,,,120000000.0,one hundred and twenty million,100,0,0,,,,,,,,,,,,,0,100,1.0,Malaysia,2.0,15.0,,105.0,,3.0,1,0,2,,4,4,,,,,,,,,,,,2,-4,,50.0,2,1,3,2,2,,2,2,,,,2,,,2,,,2,,,2,,,200.0,3.0,,2,2,,2,2,70,30,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,1,2.0,2021.0,200000000.0,1.0,1.0,2.0,2.0,2.0,2.0,800000000.0,1.0,120000000.0,2,1,,1.0,25000000.0,30.0,2,40,5.0,0.0,1.0,1.0,50,5.0,1.0,1,4,0,1,2.0,2.0,1.0,4.0,3,32.0,,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,0,1,6,4,5,7,2,3,8,5,,,1,5,2,,,3.0,,7.0,2,,,,,,,0,,,2,,,0,0,,,2,,,2,,0,0,1,5,11,4,9,1,14,15,12,7,3,13,2,6,8,10,26000000.0,4800000.0,600000,240000,2800000,,460000000.0,,,,3,18,9,2,2024,16,25,1,1,1,,,3,1,1,2,4772,1,1,2,0,9.536638,10.500564,13.140285,3,4
1188548,60,3,1,1,1,0,1,1,56,3,1,10,2,0,1,2,6,2023,11,58,2022,12,31,33,Int19RWA,,,,,,3,,1,100,0,0,0,2,,2011,5,2011,12,2,2,,2,,,,300000,2,,,,,,1,0.0,2,,,,140000,1.0,,1,21.0,18.0,20.0,,1,1,-5.0,2000000.0,1,30.0,,20.0,,-9,0,52,,,,,65,42000000.0,forty-two million,,,13000000.0,thirteen million,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,1,0,2,,4,4,,,,,,,,,,,,1,0,,0.0,2,2,3,2,2,,0,2,,,,2,,,2,,,1,30.0,2.0,1,30.0,5000.0,,,,0,2,,2,2,90,0,0,0,10,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,1,75,5.0,1.0,1.0,15.0,15,5.0,5.0,0,3,96,1,5.0,2.0,1.0,2.0,3,48.0,,3,3,2,,3.0,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,0,5,3,6,7,2,4,1,10,3,,,4,4,2,,,1.0,100.0,,1,,,,,1.0,,0,,,2,,,10,14,0.0,3.0,2,,,1,1.0,0,0,-9,5,10,11,14,15,4,8,13,9,12,2,6,3,7,1,8000000.0,4000000.0,3600000,1680000,0,,,,,,23,9,8,6,2023,10,49,1,2,1,,,2,1,1,4,5610,1,1,3,0,27.43655,28.14314,32.544987,5,3
1188549,179,3,1,1,1,1,0,1,56,3,1,15,2,0,1,28,6,2023,14,45,2022,12,31,33,Int19RWA,,,,,,3,,1,100,0,0,0,1,100.0,2018,35,2018,5,1,2,,2,,,,480,2,,,,,,2,,2,,,,42,1.0,,1,10.0,4.0,20.0,,2,2,,,-7,,,,,2,0,52,,,,,100,40320000.0,forty million three hundred and twenty thousand,,,33600000.0,thirty-three million six hundred thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,0,0,2,,4,4,,,,,,,,,,,,1,4,3.0,,2,1,1,2,2,,2,1,1.0,We are cooking a wedding ceremony,new open,1,It was productive to cook a wedding,It was productive to cook a wedding,2,,,2,,,2,,,,,,1,2,,2,2,90,0,0,10,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,1,2,5.0,1.0,5.0,0.0,1,5.0,1.0,0,4,12,1,8.0,2.0,1.0,2.0,1,,12.0,1,1,2,,3.0,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,0,3,7,2,4,6,1,5,15,11,,,5,5,5,,,8.0,60.0,,2,,,,,,,0,,,1,4.0,8.0,15,0,,,2,,,1,1.0,0,0,12,1,14,2,11,4,15,9,8,6,7,12,13,10,3,5,1080000.0,0.0,5760,502,30000,,,,,,25,12,28,6,2023,16,21,1,1,1,,,2,1,1,2,5610,1,1,3,0,27.43655,28.14314,32.544987,5,3
1188550,182,3,1,1,1,0,1,1,47,2,1,6,2,0,1,19,1,2024,11,48,2023,12,31,33,Int17RWA,,,,,,-9,,1,100,0,0,0,1,50.0,2018,3,2018,6,1,2,,2,,,,60,1,2.0,2.0,0.0,2.0,,2,,2,,,,1,1.0,,1,10.0,48.0,20.0,,2,2,,,-7,,,,,-9,1,2,,,,,80,2000000.0,two million,,,500000.0,five hundred thousand,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,0,-7,2,,4,4,,,,,,,,,,,,1,-4,,-9.0,2,-9,3,2,2,,1,1,1.0,we do food delivery for our customers,"Before we didn't food delivery for our customers, but for increasing the number of our customers we add food delivery in our service.",1,we do food delivery for increasing the number of our customers because after doing this service of food delivery we get more customers than before.,"We do food delivery, we deliver food for our customers who need this service delivery.",2,,,2,,,-7,,,50.0,3.0,,-7,2,,2,2,100,0,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,2,0,,,,,10,5.0,1.0,1,4,10,1,2.0,2.0,2.0,,3,24.0,,3,1,-7,,,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,0,6,3,5,4,2,1,7,6,6,,,2,2,2,,,4.0,90.0,,2,,,,,,,0,,,2,,,6,0,,,2,,,2,,0,0,1,6,9,11,4,10,8,7,14,12,13,15,5,3,2,1,1200000.0,0.0,240000,36000,0,,1200000.0,,,,2,0,19,1,2024,14,17,1,1,1,,,2,1,1,2,4721,1,1,3,0,27.43655,28.14314,32.544987,5,-9
1188551,210,3,1,1,1,0,1,1,49,3,1,15,2,0,1,6,7,2023,12,4,2022,12,31,33,Int21RWA,,,,,,5,,2,100,0,0,0,2,,2020,8,2021,3,2,2,,1,90.0,1.0,200000.0,10,1,5.0,3.0,0.0,,200000.0,2,,1,150.0,2.0,300000.0,300,1.0,,1,5.0,5.0,20.0,,1,1,60.0,-9.0,2,,,,,2,3,6,,,,,60,100000000.0,one hundred million,,,-7.0,,100,0,0,,,,,,,,,,,,,0,100,1.0,Belgium,1.0,7.0,,9.0,,10.0,2,1,2,,1,4,,,,,,,,,,,,1,-4,,60.0,1,1,1,2,1,3.0,1,1,-9.0,New method for baying ticket by using technology,Cleary New product,2,,,2,,,2,,,1,2.0,50000.0,,,,0,1,50000000.0,1,1,100,0,0,0,0,2,,,,,,,,,,,,,,,,,,2,2,4,,,,,,,,,,,,,2,4,1.0,,,,2,100,-9.0,,,,0,,,0,1,20,1,3.0,2.0,1.0,5.0,2,24.0,,1,1,2,,1.0,2,,2,,80.0,,2,,,1,5.0,2.0,3,3,1,3,3,1,3,3,5,7,2,1,4,6,-9,-7,,,-9,-9,-9,,,-9.0,0.0,,1,,,,,10.0,,2,-9.0,,1,5.0,-9.0,-9,-9,,,-9,,,-9,,1,2,2,10,15,13,2,9,8,14,4,11,5,12,6,7,1,3,-9.0,,-9,-9,-9,,,,,,-9,-9,6,7,2023,13,16,2,1,1,,,3,1,1,4,4921,1,1,3,0,27.43655,28.14314,32.544987,5,5
1188552,272,3,1,1,1,1,0,1,55,3,1,29,2,0,1,9,6,2023,14,39,2022,12,31,33,Int19RWA,,,,,,3,,1,100,0,0,0,2,,2015,37,2015,8,2,2,,2,,,,3131,2,,,,,,1,10.0,2,,,,144,1.0,,2,,,,,1,2,,,2,,,,,2,0,51,24.0,18.0,3.0,,100,244633615.0,two hundred and forty-four million six hundred and thirty-three thousand six hundred and fifteen,,,214987332.0,two hundred and fourteen million nine hundred and eighty-seven thousand three hundred and thirty-two,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,0,0,2,,4,4,2.0,2.0,,1.0,1.0,2.0,1.0,2.0,,1.0,1.0,1,5,2.0,,1,2,3,2,2,,0,2,,,,2,,,2,,,2,,,2,,,,,,0,2,,2,2,100,0,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,1,25,5.0,1.0,2.0,2.0,85,5.0,5.0,0,3,0,2,,,,,3,,2.0,1,1,1,7.0,,2,,2,,0.0,,2,,,2,,,0,0,0,0,0,0,0,3,6,4,7,2,5,1,29,15,,,10,10,9,,,8.0,35.0,,2,,,,,,,8,8.0,,1,14.0,4.0,26,0,,,2,,,1,1.0,0,0,-7,12,14,15,1,9,10,2,5,11,13,7,3,8,6,4,26283773.0,0.0,37572,1728,2400000,,,,,,0,0,9,6,2023,16,36,1,1,1,,,2,1,1,4,5510,1,1,3,0,27.43655,28.14314,32.544987,5,3
1188553,374,3,2,1,1,0,1,1,45,3,1,25,2,0,1,6,6,2023,11,49,2022,12,31,33,Int13RWA,,,,,,3,,1,100,0,0,0,2,,2020,6,2020,20,2,2,,2,,,,600,2,,,,,,1,2.0,2,,,,50,1.0,,1,5.0,72.0,2.0,,2,1,-5.0,250000.0,2,,,,,4,1,6,,,,,100,60000000.0,sixty million,,,-7.0,,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,0,0,2,,4,4,4.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,,1.0,3.0,2,-4,,80.0,2,2,1,2,1,2.0,1,1,1.0,car's diagnostic services,new open,1,Going to pick up the car and get it done then get it back to the customer,It helped us delivering,2,,,2,,,2,,,,,,3,2,,2,1,100,0,0,0,0,1,10000000.0,0.0,100.0,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,1,2,4,,,,,,,,,,,,,2,4,1.0,,,,1,80,1.0,0.0,0.0,6000.0,80,1.0,0.0,0,4,1,1,12.0,2.0,1.0,2.0,1,45.0,,1,1,2,,3.0,1,4.0,1,60.0,0.0,,2,,,2,,,3,1,0,1,0,0,0,3,1,2,7,5,6,4,25,-7,,,15,10,0,,,3.0,50.0,,1,,,,,10.0,,2,2.0,,2,,,15,10,3.0,12.0,2,,,1,1.0,0,0,14,3,5,2,7,10,11,13,14,8,12,6,4,9,15,1,8400000.0,1200000.0,2520000,408000,0,,,,,,3,4,6,6,2023,12,45,1,1,1,,,2,1,1,2,4520,1,2,3,0,12.195817,12.385816,14.300737,11,3
1188554,383,2,1,1,1,0,1,1,47,2,1,6,2,0,1,31,5,2023,14,13,2022,12,31,33,Int3RWA,,,,,,3,,1,100,0,0,0,1,100.0,2017,3,2017,5,1,2,,2,,,,7,1,2.0,0.0,30.0,10.0,,2,,2,,,,2,1.0,,2,,,,,1,2,,,1,2.0,,2.0,,3,2,2,,,,,100,30000000.0,thirty million,,,28000000.0,twenty-eight million,100,0,0,,,,,,,,,,,,,75,25,2.0,,,,,,,,2,2,2,,4,3,,,,,,,,,,,,2,-4,,50.0,2,1,1,2,2,,3,2,,,,2,,,2,,,2,,,2,,,10.0,3.0,,1,1,500000.0,2,2,100,0,0,0,0,2,,,,,,,,,,,,,,,,,,1,2,4,,,,,,,,,,,,,2,2,,1.0,,,1,50,5.0,0.0,2.0,30000.0,50,5.0,2.0,2,4,0,1,3.0,2.0,1.0,1.0,1,20.0,,1,1,1,-5.0,,2,,2,,0.0,,2,,,2,,,2,2,1,1,2,2,1,5,3,7,6,1,2,4,6,6,,,3,2,1,,,1.0,50.0,,2,,,,,,,5,0.0,1.0,2,,,10,0,,,2,,,2,,1,1,1,4,12,8,9,7,11,13,5,6,14,2,15,10,3,1,1000000.0,400000.0,24000,24000,120000,,13000000.0,,,,25,15,31,5,2023,15,15,1,2,1,,,1,1,1,2,4752,1,1,2,0,9.536638,10.500564,13.140285,3,3
1188555,400,3,3,1,1,1,1,1,47,2,1,196,1,0,1,17,8,2023,14,22,2022,12,31,33,Int3RWA,27.0,1.0,2.0,1.0,,2,,1,100,0,0,0,2,,2010,20,2010,14,2,2,,1,30.0,2.0,1000045.0,4627,1,3.0,3.0,0.0,2.0,,1,0.0,1,25.0,2.0,750056.0,178,1.0,,1,2.0,5.0,0.0,,2,2,,,1,6.0,,0.0,,2,1,2,,,,,100,20394733211000.0,twenty trillion three hundred and ninety-four billion seven hundred and thirty-three million two hundred and eleven thousand,,,15406590842000.0,fifteen trillion four hundred and six billion five hundred and ninety million eight hundred and forty-two thousand,100,0,0,,,,,,,,,,,,,0,100,1.0,France,2.0,30.0,,30.0,,5.0,1,1,2,,4,3,2.0,1.0,2.0,1.0,3.0,4.0,3.0,1.0,4.0,1.0,3.0,2,15,2.0,,2,2,1,-7,2,,0,1,2.0,Engine lubricants,Our stations we only sold fuel but now we have brought motel oil.,2,,,2,,,1,30.0,2.0,2,,,180.0,3.0,,4,2,,2,2,39,10,12,39,0,2,,,,,,,,,,,,,,,,,,1,1,1,1.0,2022.0,-8.0,1.0,1.0,2.0,2.0,2.0,2.0,1000000000.0,2.0,500000000.0,2,3,,1.0,1770000.0,45.0,1,10,5.0,0.0,1.0,5000000.0,85,1.0,5.0,1,4,30,1,3.0,1.0,1.0,3.0,3,45.0,,1,1,1,-5.0,,2,,2,,0.0,,2,,,2,,,4,3,2,0,0,2,3,4,6,2,5,3,7,1,172,179,,,145,27,0,,,55.0,100.0,,2,,,,,,,23,0.0,6.0,2,,,0,0,,,2,,,1,1.0,2,2,2,4,14,2,10,12,13,1,8,11,5,15,3,9,6,7,198816000.0,4786000.0,16746290,1803147,963000,,-9.0,,,,38,12,17,8,2023,16,12,1,1,1,,,1,1,1,2,4730,1,3,3,0,1.1976916,1.1990166,1.2292786,17,2
1188556,404,1,1,1,1,1,0,1,15,1,1,5,2,0,1,30,5,2023,12,59,2022,12,31,33,Int1RWA,,,,,,3,,1,100,0,0,0,1,100.0,2018,3,2021,7,1,2,,2,,,,-9,1,1.0,0.0,30.0,0.0,,2,,2,,,,-9,,,2,,,,,1,2,,,-7,,,,,4,0,1,,,,,100,1800000.0,one million eight hundred thousand,1200000.0,one million two hundred thousand,-9.0,,100,0,0,,,,,,,,,,,,,100,0,,,,,,,,,3,0,1,2.0,4,4,,,,,,,,,,,,2,-4,2.0,,2,1,1,2,2,,4,1,2.0,we deliver our product to our client,before our wholosale come to the shop but to day we deliver our product to our patern wholosale.,2,,,2,,50.0,2,,,2,,,,,,3,2,,2,2,97,0,0,1,2,2,,,,,,,,,,,,,,,2.0,,,2,2,4,,,,,,,,,,,,,1,3,,1.0,0.0,1.0,2,20,5.0,0.0,2.0,0.0,0,,,3,3,1,1,2.0,2.0,1.0,-9.0,1,,8.0,1,1,2,,3.0,2,,2,,,0.0,2,,,2,,,4,4,0,0,0,0,3,3,4,7,1,6,2,5,5,3,5.0,0.0,5,0,0,3.0,0.0,,,1.0,2,,,,,,,5,2.0,5.0,2,,,0,0,,,2,,,2,,2,1,1,3,11,7,14,13,1,5,12,10,15,9,4,8,6,2,360000.0,0.0,0,0,0,1000000.0,,360000.0,500000.0,500000.0,0,2,30,5,2023,15,14,2,2,1,,,1,1,1,2,1512,1,1,1,0,19.165749,20.163015,23.855488,1,3
